v_Intercept,v_coherence_signed,a,z,g,t,k,gain,seed_filter
-0.15846718103408813,8.568665,1.0054101,0.60099965,0.30731416,0.36,10.0,1.2,59
-0.1780714856338501,8.482109,1.0375578,0.5934388,0.15635312,0.36,10.0,1.2,59
-0.16620346887111664,8.053908,1.008083,0.6014041,0.21627724,0.36,10.0,1.2,59
-0.17109647931575775,8.427554,1.0430738,0.6047888,0.11876333,0.36,10.0,1.2,59
-0.09966633729934693,8.141556,0.96644574,0.5876568,0.6136091,0.36,10.0,1.2,59
-0.09572933576107025,8.295302,0.98141944,0.5930757,0.39874387,0.36,10.0,1.2,59
-0.08766036454200744,8.382891,1.0012224,0.58246833,0.23592329,0.36,10.0,1.2,59
-0.14452835426330565,8.55978,0.9918487,0.6022082,0.423432,0.36,10.0,1.2,59
-0.13947538288593292,8.673966,1.0520476,0.5860687,0.03543091,0.36,10.0,1.2,59
-0.09595835520744324,8.352667,0.9683134,0.58761615,0.5239614,0.36,10.0,1.2,59
-0.15598674480438232,8.42321,1.0311365,0.6043744,0.20267296,0.36,10.0,1.2,59
-0.2135852473974228,8.390784,1.0674803,0.60566217,-0.13014486,0.36,10.0,1.2,59
-0.13978964478969574,7.9818106,0.9688896,0.5819545,0.39132512,0.36,10.0,1.2,59
-0.16514777993679047,8.255874,1.034075,0.59594184,0.1608522,0.36,10.0,1.2,59
-0.12819154317378997,8.172736,1.0337147,0.59601367,0.103594065,0.36,10.0,1.2,59
-0.09087055379867554,8.306118,1.0233765,0.581319,0.15910387,0.36,10.0,1.2,59
-0.1470312417125702,8.623999,1.0265775,0.59240246,0.14252019,0.36,10.0,1.2,59
-0.11693330552577973,8.327861,0.97481775,0.59257793,0.46689498,0.36,10.0,1.2,59
-0.1560145702457428,8.013704,0.9720808,0.5963075,0.3863939,0.36,10.0,1.2,59
-0.16146794056892394,8.877802,1.0415666,0.6007269,0.15308964,0.36,10.0,1.2,59
-0.1557375769853592,8.369775,0.99261963,0.605341,0.37487268,0.36,10.0,1.2,59
-0.13106866233348846,8.529105,0.9962096,0.58502465,0.42442536,0.36,10.0,1.2,59
-0.09568177965641021,8.173631,1.0010452,0.57845753,0.27763724,0.36,10.0,1.2,59
-0.14453019909381867,8.56104,1.0405166,0.5825072,0.23087811,0.36,10.0,1.2,59
-0.08208127032279969,8.657511,0.979082,0.58380556,0.44091725,0.36,10.0,1.2,59
-0.15530257998466493,8.373697,1.0639375,0.58608764,0.005240798,0.36,10.0,1.2,59
-0.12969435545682909,7.8654494,0.9798582,0.60007364,0.3972031,0.36,10.0,1.2,59
-0.15429584732055665,8.385391,1.0410659,0.58888686,0.037074447,0.36,10.0,1.2,59
-0.11795227882385254,8.188168,1.0617194,0.5921925,0.035574317,0.36,10.0,1.2,59
-0.1960675237894058,8.677373,1.0735257,0.5978296,-0.03199914,0.36,10.0,1.2,59
-0.13610050112724303,8.375784,1.036926,0.59343547,0.10812819,0.36,10.0,1.2,59
-0.08703825232982636,8.300357,0.9574113,0.58530545,0.5696329,0.36,10.0,1.2,59
-0.15368553416728972,8.243194,1.0564038,0.5886857,0.025881529,0.36,10.0,1.2,59
-0.13395810284614562,8.19766,1.0460136,0.5958311,0.16685641,0.36,10.0,1.2,59
-0.1304973250579834,8.475529,0.96408194,0.58951694,0.4703976,0.36,10.0,1.2,59
-0.14482045310497285,8.069175,1.0482519,0.5810039,0.019619584,0.36,10.0,1.2,59
-0.10971742677211761,8.27838,1.0205057,0.59723216,0.1473893,0.36,10.0,1.2,59
-0.1495531574344635,8.108385,0.98527926,0.59943366,0.4820485,0.36,10.0,1.2,59
-0.11529626519203186,8.766314,1.0383521,0.5952272,0.24152601,0.36,10.0,1.2,59
-0.118825442237854,8.330227,0.95518774,0.59832245,0.5981457,0.36,10.0,1.2,59
-0.16460825095176698,8.371382,1.0645628,0.5902618,-0.018660992,0.36,10.0,1.2,59
-0.14216749950408936,8.618629,1.0072424,0.590227,0.23744488,0.36,10.0,1.2,59
-0.09245015845298767,8.423166,1.0492665,0.5908586,0.0015990734,0.36,10.0,1.2,59
-0.17685274413585664,8.456824,0.9877844,0.59945613,0.36374915,0.36,10.0,1.2,59
-0.10501453616619111,8.1162405,0.9910236,0.5964671,0.30710626,0.36,10.0,1.2,59
-0.11820107217788696,8.070362,0.9887621,0.5977295,0.35684156,0.36,10.0,1.2,59
-0.123997131857872,8.285926,1.018897,0.58711344,0.19753194,0.36,10.0,1.2,59
-0.091632355093956,8.626533,1.0019666,0.581981,0.36631358,0.36,10.0,1.2,59
-0.1093515082359314,8.218651,0.98413,0.58182335,0.3519863,0.36,10.0,1.2,59
-0.1468523522233963,8.341516,1.0111076,0.594806,0.34705353,0.36,10.0,1.2,59
-0.17463947021961213,8.217645,1.0500692,0.6020399,0.102378964,0.36,10.0,1.2,59
-0.16180671092033386,8.792532,1.0373387,0.59116185,0.15083122,0.36,10.0,1.2,59
-0.11483647982597352,8.388926,1.0005175,0.58384293,0.19994831,0.36,10.0,1.2,59
-0.14910592974185943,8.427289,0.9916748,0.5929335,0.46236467,0.36,10.0,1.2,59
-0.12245512255191802,8.445371,1.0148242,0.5971033,0.2307241,0.36,10.0,1.2,59
-0.14521331431865692,8.320994,1.0080031,0.60376346,0.29619431,0.36,10.0,1.2,59
-0.1277899526309967,8.583914,1.0255612,0.5871011,0.19308937,0.36,10.0,1.2,59
-0.11829509098529815,8.25232,1.0083544,0.59788203,0.21110952,0.36,10.0,1.2,59
-0.09741938258886337,7.7155223,0.971678,0.58771354,0.47585332,0.36,10.0,1.2,59
-0.08177641984939575,8.643547,0.9828246,0.5920041,0.5079082,0.36,10.0,1.2,59
-0.16330659176826479,8.516794,1.0469362,0.590135,-0.035522968,0.36,10.0,1.2,59
-0.0973355748128891,8.413478,1.0464959,0.5831124,0.13886738,0.36,10.0,1.2,59
-0.09659225463867188,8.0189705,1.012995,0.5886631,0.22577405,0.36,10.0,1.2,59
-0.13692660239696502,9.004519,1.0119096,0.58375174,0.25256097,0.36,10.0,1.2,59
-0.13103089591026307,8.209074,1.0065726,0.5915325,0.30830038,0.36,10.0,1.2,59
-0.16556683690071106,8.57987,1.0051,0.6004084,0.24206269,0.36,10.0,1.2,59
-0.11742094518661499,9.087139,0.9735814,0.60395056,0.6742964,0.36,10.0,1.2,59
-0.06584786807060242,8.298166,1.0107845,0.58731353,0.27592802,0.36,10.0,1.2,59
-0.14634255980014801,8.153565,1.0215406,0.58652294,0.20874429,0.36,10.0,1.2,59
-0.1503136946296692,8.11858,1.0453098,0.5955268,-0.01138857,0.36,10.0,1.2,59
-0.15718249458789826,8.48858,1.0552167,0.5940946,-0.020607978,0.36,10.0,1.2,59
-0.11387271449089051,8.608404,0.9868426,0.59218794,0.43599808,0.36,10.0,1.2,59
