param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.121,0.016,0.09,0.15,0.0,0.0,2895.0,2094.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
v_coherence_signed,6.9,0.186,6.554,7.248,0.003,0.003,2889.0,2858.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
a,1.438,0.013,1.415,1.463,0.0,0.0,2675.0,2399.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
z,0.515,0.01,0.496,0.535,0.0,0.0,3080.0,2845.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
g,0.979,0.02,0.941,1.0,0.0,0.001,2260.0,1777.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
v(0.15),1.156,0.034,1.09,1.215,0.001,0.001,2775.0,2725.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
v(0),0.121,0.016,0.09,0.15,0.0,0.0,2895.0,2094.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
v(-0.15),-0.914,0.03,-0.97,-0.857,0.001,0.0,3066.0,2795.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
g_native,15.66,0.324,15.052,16.0,0.006,0.008,2260.0,1777.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
a_native,0.36,0.003,0.354,0.366,0.0,0.0,2675.0,2399.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
v_native(0.15),4.622,0.136,4.358,4.858,0.003,0.002,2775.0,2725.0,1.0,0.8,16.0,1.5,52,1935,0.38,g0.8_k16_b1.5_s52
