param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.05,0.029,-0.102,0.006,0.001,0.0,2597.0,2529.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
v_coherence_signed,9.124,0.299,8.57,9.683,0.005,0.005,3410.0,2135.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
a,0.861,0.009,0.845,0.877,0.0,0.0,2710.0,2432.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
z,0.473,0.008,0.459,0.489,0.0,0.0,2964.0,3099.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
g,0.933,0.056,0.829,1.0,0.001,0.001,1645.0,1219.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
v(0.15),1.318,0.051,1.221,1.414,0.001,0.001,2981.0,2487.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
v(0),-0.05,0.029,-0.102,0.006,0.001,0.0,2597.0,2529.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
v(-0.15),-1.419,0.055,-1.524,-1.318,0.001,0.001,3333.0,2638.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
g_native,9.327,0.559,8.285,10.0,0.012,0.01,1645.0,1219.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
a_native,0.272,0.003,0.267,0.277,0.0,0.0,2710.0,2432.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
v_native(0.15),4.168,0.162,3.863,4.471,0.003,0.003,2981.0,2487.0,1.0,1.2,10.0,1.5,47,2000,0.37,g1.2_k10_b1.5_s47
