param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.031,0.006,-0.042,-0.021,0.0,0.0,3198.0,2681.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
v_coherence_signed,9.707,0.064,9.585,9.821,0.001,0.001,2849.0,2175.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
a,0.939,0.002,0.936,0.943,0.0,0.0,4060.0,3043.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
z,0.496,0.002,0.493,0.5,0.0,0.0,3034.0,2523.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
g,0.996,0.004,0.989,1.0,0.0,0.0,2311.0,1840.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
v(0.15),1.426,0.011,1.403,1.445,0.0,0.0,2949.0,2525.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
v(0),-0.031,0.006,-0.042,-0.021,0.0,0.0,3198.0,2681.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
v(-0.15),-1.487,0.011,-1.507,-1.466,0.0,0.0,3076.0,2815.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
g_native,7.97,0.03,7.913,8.0,0.0,0.001,2311.0,1840.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
a_native,0.332,0.001,0.331,0.333,0.0,0.0,4060.0,3043.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
v_native(0.15),4.032,0.031,3.969,4.086,0.001,0.0,2949.0,2525.0,1.0,1.0,8.0,1.5,0,39881,0.34,g1.0_k8_b1.5_pooled
