param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.027,0.004,-0.035,-0.019,0.0,0.0,3794.0,3220.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
v_coherence_signed,8.236,0.05,8.14,8.328,0.001,0.001,2843.0,2579.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
a,1.201,0.002,1.197,1.205,0.0,0.0,3758.0,3290.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
z,0.495,0.002,0.491,0.499,0.0,0.0,2896.0,2649.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
g,0.998,0.002,0.994,1.0,0.0,0.0,2497.0,1446.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
v(0.15),1.209,0.009,1.193,1.225,0.0,0.0,3128.0,3001.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
v(0),-0.027,0.004,-0.035,-0.019,0.0,0.0,3794.0,3220.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
v(-0.15),-1.262,0.009,-1.279,-1.246,0.0,0.0,3181.0,2712.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
g_native,9.98,0.02,9.944,10.0,0.0,0.0,2497.0,1446.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
a_native,0.38,0.001,0.378,0.381,0.0,0.0,3758.0,3290.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
v_native(0.15),3.822,0.027,3.772,3.873,0.0,0.0,3128.0,3001.0,1.0,0.8,10.0,1.5,0,38640,0.35,g0.8_k10_b1.5_pooled
