param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.022,0.023,-0.064,0.02,0.0,0.0,2811.0,2406.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
v_coherence_signed,9.041,0.255,8.56,9.511,0.005,0.004,2678.0,2162.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
a,1.049,0.009,1.031,1.065,0.0,0.0,2695.0,2580.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
z,0.456,0.008,0.44,0.471,0.0,0.0,2736.0,2829.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
g,0.976,0.023,0.935,1.0,0.0,0.0,2663.0,1731.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
v(0.15),1.334,0.044,1.257,1.42,0.001,0.001,2848.0,2986.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
v(0),-0.022,0.023,-0.064,0.02,0.0,0.0,2811.0,2406.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
v(-0.15),-1.378,0.045,-1.468,-1.299,0.001,0.001,2602.0,2631.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
g_native,9.756,0.226,9.351,10.0,0.004,0.005,2663.0,1731.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
a_native,0.332,0.003,0.326,0.337,0.0,0.0,2695.0,2580.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
v_native(0.15),4.219,0.139,3.973,4.49,0.003,0.002,2848.0,2986.0,1.0,1.0,10.0,1.5,45,1989,0.36,g1.0_k10_b1.5_s45
