param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.046,0.005,-0.055,-0.036,0.0,0.0,2745.0,2267.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
v_coherence_signed,8.447,0.055,8.344,8.553,0.001,0.001,2519.0,2540.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
a,1.241,0.007,1.227,1.254,0.0,0.0,1807.0,2210.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
z,0.497,0.002,0.494,0.501,0.0,0.0,2644.0,2232.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
g,0.472,0.027,0.423,0.524,0.001,0.0,1765.0,2148.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
v(0.15),1.221,0.01,1.203,1.238,0.0,0.0,2683.0,2798.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
v(0),-0.046,0.005,-0.055,-0.036,0.0,0.0,2745.0,2267.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
v(-0.15),-1.313,0.01,-1.33,-1.293,0.0,0.0,2536.0,2346.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
g_model,0.472,0.027,0.423,0.524,0.001,0.0,1765.0,2148.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
a_model,1.241,0.007,1.227,1.254,0.0,0.0,1807.0,2210.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
g_native,4.723,0.271,4.226,5.243,0.006,0.005,1765.0,2148.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
a_native,0.392,0.002,0.388,0.397,0.0,0.0,1807.0,2210.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
v_native(0.15),3.862,0.03,3.804,3.916,0.001,0.0,2683.0,2798.0,1.0,1.2,10.0,2.5,0,37772,0.41,g1.2_k10_b2.5_pooled
