param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.083,0.024,-0.128,-0.039,0.0,0.0,2861.0,2635.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
v_coherence_signed,8.866,0.265,8.376,9.364,0.005,0.004,2652.0,2498.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
a,0.993,0.009,0.976,1.008,0.0,0.0,2897.0,2309.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
z,0.451,0.008,0.436,0.467,0.0,0.0,2971.0,3054.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
g,0.968,0.03,0.913,1.0,0.001,0.001,2129.0,1627.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
v(0.15),1.247,0.045,1.165,1.337,0.001,0.001,2892.0,2612.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
v(0),-0.083,0.024,-0.128,-0.039,0.0,0.0,2861.0,2635.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
v(-0.15),-1.413,0.047,-1.503,-1.327,0.001,0.001,2593.0,2358.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
g_native,9.68,0.296,9.131,10.0,0.006,0.007,2129.0,1627.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
a_native,0.314,0.003,0.309,0.319,0.0,0.0,2897.0,2309.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
v_native(0.15),3.944,0.144,3.683,4.229,0.003,0.002,2892.0,2612.0,1.0,1.0,10.0,1.5,54,1996,0.36,g1.0_k10_b1.5_s54
