param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.015,0.005,-0.024,-0.007,0.0,0.0,3066.0,2591.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
v_coherence_signed,7.051,0.051,6.958,7.146,0.001,0.001,3147.0,2613.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
a,1.12,0.005,1.111,1.129,0.0,0.0,1951.0,2549.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
z,0.493,0.002,0.49,0.497,0.0,0.0,3001.0,2358.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
g,0.808,0.025,0.763,0.855,0.001,0.0,1945.0,2189.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
v(0.15),1.042,0.009,1.026,1.06,0.0,0.0,3194.0,2989.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
v(0),-0.015,0.005,-0.024,-0.007,0.0,0.0,3066.0,2591.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
v(-0.15),-1.073,0.009,-1.09,-1.056,0.0,0.0,3070.0,2463.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
g_native,12.932,0.396,12.201,13.681,0.009,0.006,1945.0,2189.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
a_native,0.28,0.001,0.278,0.282,0.0,0.0,1951.0,2549.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
v_native(0.15),4.17,0.036,4.104,4.238,0.001,0.001,3194.0,2989.0,1.0,1.2,16.0,1.5,0,39988,0.364,g1.2_k16_b1.5_pooled
