param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.012,0.004,-0.019,-0.006,0.0,0.0,4100.0,2616.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
v_coherence_signed,6.115,0.041,6.037,6.188,0.001,0.001,2817.0,2655.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
a,1.388,0.002,1.383,1.392,0.0,0.0,3609.0,3130.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
z,0.49,0.002,0.485,0.494,0.0,0.0,3129.0,2880.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
g,0.998,0.002,0.994,1.0,0.0,0.0,2616.0,1842.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
v(0.15),0.905,0.007,0.891,0.918,0.0,0.0,2633.0,2340.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
v(0),-0.012,0.004,-0.019,-0.006,0.0,0.0,4100.0,2616.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
v(-0.15),-0.929,0.007,-0.943,-0.917,0.0,0.0,3265.0,2816.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
g_model,0.998,0.002,0.994,1.0,0.0,0.0,2616.0,1842.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
a_model,1.388,0.002,1.383,1.392,0.0,0.0,3609.0,3130.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
g_native,23.948,0.05,23.856,24.0,0.001,0.001,2616.0,1842.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
a_native,0.283,0.0,0.282,0.284,0.0,0.0,3609.0,3130.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
v_native(0.15),4.434,0.034,4.366,4.496,0.001,0.001,2633.0,2340.0,1.0,1.0,24.0,1.5,0,39881,0.42,g1.0_k24_b1.5_pooled
