param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.039,0.03,-0.016,0.098,0.001,0.0,2515.0,2458.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
v_coherence_signed,11.619,0.288,11.083,12.166,0.006,0.005,2371.0,1675.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
a,1.206,0.037,1.133,1.273,0.001,0.001,1742.0,1633.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
z,0.49,0.008,0.475,0.505,0.0,0.0,2309.0,2392.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
g,-0.106,0.142,-0.367,0.16,0.003,0.003,1767.0,1395.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
v(0.15),1.782,0.052,1.692,1.884,0.001,0.001,2532.0,2234.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
v(0),0.039,0.03,-0.016,0.098,0.001,0.0,2515.0,2458.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
v(-0.15),-1.704,0.053,-1.81,-1.608,0.001,0.001,2159.0,2033.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
g_native,-0.425,0.568,-1.468,0.64,0.014,0.011,1767.0,1395.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
a_native,0.603,0.019,0.566,0.637,0.0,0.0,1742.0,1633.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
v_native(0.15),3.563,0.104,3.383,3.768,0.002,0.002,2532.0,2234.0,1.0,1.0,4.0,1.5,0,2000,0.436,appendix_weibull_g1.0_k4_s42
