param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,true_native,gain,k,g_source,tag
v_Intercept,-0.005,0.009,-0.02,0.012,0.0,0.0,2716.0,2347.0,1.0,-0.023308473355558745,-0.07370786458491332,1.2,10.0,fitted,recover_g1.2_k10_fitted
v_coherence_signed,8.888,0.089,8.712,9.048,0.002,0.002,2851.0,2415.0,1.0,8.872568479362501,28.057525090602166,1.2,10.0,fitted,recover_g1.2_k10_fitted
a,0.925,0.005,0.916,0.934,0.0,0.0,2267.0,2632.0,1.0,0.906762364925,0.28674343696837745,1.2,10.0,fitted,recover_g1.2_k10_fitted
z,0.488,0.003,0.483,0.493,0.0,0.0,2748.0,2456.0,1.0,0.4942543039975,0.4942543039975,1.2,10.0,fitted,recover_g1.2_k10_fitted
g,0.763,0.038,0.693,0.834,0.001,0.001,2205.0,2354.0,1.0,0.9080624506036049,9.080624506036049,1.2,10.0,fitted,recover_g1.2_k10_fitted
