v_Intercept,v_coherence_signed,a,z,g,t,k,gain,seed_filter
-0.12680113925991288,8.9695215,1.0359461,0.46450624,0.9944837,0.36,10.0,1.0,55
-0.1213619707578636,8.714094,1.028471,0.47282767,0.9803467,0.36,10.0,1.0,55
-0.07400898617434215,9.011698,1.0352968,0.46665356,0.99116623,0.36,10.0,1.0,55
-0.062364308058497415,8.887899,1.0211494,0.45087343,0.9960774,0.36,10.0,1.0,55
-0.0980489409831633,8.670602,1.0398978,0.46935767,0.9888129,0.36,10.0,1.0,55
-0.10876619891948011,9.080508,1.0280297,0.4678817,0.99880433,0.36,10.0,1.0,55
-0.11560068582913963,8.966308,1.0249898,0.47891924,0.9656887,0.36,10.0,1.0,55
-0.09694291888949383,8.938888,1.0367659,0.4609389,0.8925164,0.36,10.0,1.0,55
-0.12978775491197425,8.438895,1.0321326,0.478701,0.9689572,0.36,10.0,1.0,55
-0.05566775304725371,8.841043,1.0229185,0.4588499,0.9638077,0.36,10.0,1.0,55
-0.09990877997444336,9.140639,1.0208739,0.4666369,0.98866177,0.36,10.0,1.0,55
-0.051423639561756544,8.557711,1.0199708,0.44481596,0.9771676,0.36,10.0,1.0,55
-0.14917677030505905,8.369374,1.0157769,0.4735685,0.9951519,0.36,10.0,1.0,55
-0.08163614165352051,8.546977,1.0098608,0.45749363,0.9848068,0.36,10.0,1.0,55
-0.10277391156518315,8.587237,1.0132931,0.47209504,0.98677635,0.36,10.0,1.0,55
-0.11748668235468576,9.058003,1.0336564,0.45844272,0.9835379,0.36,10.0,1.0,55
-0.1344148252527398,9.198104,1.0368857,0.47227824,0.9660512,0.36,10.0,1.0,55
-0.10026462429977326,8.6934805,1.0215558,0.4571745,0.9969759,0.36,10.0,1.0,55
-0.09668091453701616,8.424266,1.0198923,0.46511292,0.98224473,0.36,10.0,1.0,55
-0.07800890139786594,8.506663,1.0217247,0.468485,0.98781705,0.36,10.0,1.0,55
-0.08505710521376277,8.678598,1.0527992,0.4562214,0.9742758,0.36,10.0,1.0,55
-0.10336308199239064,8.685374,1.0335288,0.46833122,0.99367356,0.36,10.0,1.0,55
-0.07188331385692917,8.512274,1.0132885,0.4656389,0.9838455,0.36,10.0,1.0,55
-0.13666034967066293,9.01599,1.013978,0.47343016,0.9979621,0.36,10.0,1.0,55
-0.09978695613792143,8.585373,1.0356767,0.46898586,0.9577719,0.36,10.0,1.0,55
-0.09140460631933557,8.933228,1.0317961,0.46066415,0.9653903,0.36,10.0,1.0,55
-0.12149008332964886,9.042106,1.0268253,0.49054208,0.97356486,0.36,10.0,1.0,55
-0.11837505604847368,8.807869,1.029529,0.47030368,0.9799398,0.36,10.0,1.0,55
-0.07463602729590543,9.168404,1.0480847,0.47298026,0.9735631,0.36,10.0,1.0,55
-0.1273504373538925,8.902407,1.0220498,0.4713902,0.9688157,0.36,10.0,1.0,55
-0.10597532226378659,8.949966,1.0248951,0.460018,0.99534166,0.36,10.0,1.0,55
-0.05484399538442313,9.095202,1.032611,0.44495657,0.9759772,0.36,10.0,1.0,55
-0.10004593099456235,8.683592,1.0224707,0.474612,0.9991423,0.36,10.0,1.0,55
-0.0881611863676324,8.943134,1.0620282,0.47099888,0.9436172,0.36,10.0,1.0,55
-0.0843650665053402,8.7279,1.0490913,0.4658596,0.90787697,0.36,10.0,1.0,55
-0.07881543178156197,8.904954,1.043186,0.46577632,0.9972805,0.36,10.0,1.0,55
