param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.021,0.027,-0.071,0.031,0.001,0.0,2543.0,2570.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
v_coherence_signed,9.161,0.284,8.618,9.681,0.005,0.005,2956.0,2505.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
a,0.912,0.009,0.894,0.929,0.0,0.0,2606.0,2367.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
z,0.481,0.008,0.465,0.497,0.0,0.0,2619.0,2449.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
g,0.933,0.056,0.831,1.0,0.001,0.001,2153.0,1738.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
v(0.15),1.353,0.051,1.262,1.449,0.001,0.001,2738.0,2652.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
v(0),-0.021,0.027,-0.071,0.031,0.001,0.0,2543.0,2570.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
v(-0.15),-1.395,0.05,-1.489,-1.304,0.001,0.001,2829.0,2632.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
g_native,9.326,0.562,8.307,10.0,0.011,0.01,2153.0,1738.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
a_native,0.288,0.003,0.283,0.294,0.0,0.0,2606.0,2367.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
v_native(0.15),4.279,0.161,3.989,4.582,0.003,0.003,2738.0,2652.0,1.0,1.2,10.0,1.5,46,2000,0.36,g1.2_k10_b1.5_s46
