gain,variant,draw,g_nat,a_nat,v1_nat,slope_sim,acc_sim,frac_bounded
0.8,a_fitted_matched,draw0,9.9999857,0.37997922040027926,26.06978540765152,-0.0406343843286955,0.838725,0.97585
0.8,a_fitted_matched,draw1,9.9959075,0.3789420565732972,26.239365709455708,-0.04116944814953759,0.83875,0.97635
0.8,a_fitted_matched,draw2,9.985252599999999,0.38068500915125225,25.96581920501816,-0.040423358185149014,0.83875,0.975575
0.8,a_fitted_matched,draw3,9.9416435,0.3802625288558537,26.200823869333576,-0.0407152957327206,0.8391,0.975925
0.8,a_fitted_matched,draw4,9.983356,0.37968297822907465,26.233798519634984,-0.040899904261471345,0.839325,0.976125
0.8,a_fitted_matched,draw5,9.934763,0.3793845540862846,25.77565563792394,-0.04108825894607419,0.83665,0.976675
0.8,a_fitted_matched,draw6,9.954269,0.37821248749431974,25.82525280074602,-0.04151865373117583,0.836375,0.9771
0.8,a_fitted_matched,draw7,9.956293,0.3792456036058968,26.049126247697636,-0.041013292219699356,0.838225,0.97665
0.8,a_fitted_matched,draw8,9.9935937,0.3797485638677465,26.35413741485386,-0.04083746054838892,0.839475,0.975775
0.8,a_fitted_matched,draw9,9.971473,0.3808846437399387,26.45495398893769,-0.04034696924001657,0.84135,0.9756
0.8,a_fitted_matched,draw10,9.999151,0.3791863741453218,25.93533484837414,-0.04106036400941855,0.837625,0.9761
0.8,a_fitted_matched,draw11,9.992491999999999,0.3795464627024852,25.955279333576822,-0.040997151452728205,0.837925,0.9761
0.8,a_fitted_matched,draw12,9.981116,0.3799134450249477,26.08464178809899,-0.040745348176890836,0.839025,0.975925
0.8,a_fitted_matched,draw13,9.958577,0.3797169094683683,26.008544738484698,-0.04086442568920971,0.8384,0.97625
0.8,a_fitted_matched,draw14,9.992676,0.3801494774295027,25.859860767458905,-0.04063834609679812,0.8374,0.9756
0.8,a_fitted_matched,draw15,9.993081,0.3790978936163903,25.98427267630408,-0.04113378815488833,0.837575,0.9762
0.8,a_fitted_matched,draw16,9.9522686,0.38084755022298483,25.952170814636876,-0.04053446195923597,0.838425,0.97555
0.8,a_fitted_matched,draw17,9.992807,0.3801620949173668,26.096764379509246,-0.04044707111243023,0.839525,0.975875
0.8,a_fitted_matched,draw18,9.961555,0.38065616917899153,26.16521346060242,-0.040409110140811,0.840225,0.975725
0.8,a_fitted_matched,draw19,9.9162006,0.38047443308186163,25.80190254250334,-0.04077904268724741,0.8373,0.976175
0.8,a_fitted_matched,draw20,9.975778,0.3790023928310532,26.030971611650614,-0.04118742239365226,0.83755,0.976475
0.8,a_fitted_matched,draw21,9.986253000000001,0.38139649000201353,26.061310503522268,-0.04020640348679159,0.8391,0.975025
0.8,a_fitted_matched,draw22,9.962441,0.3794388820164863,26.033267425231898,-0.041141247464371165,0.838225,0.976275
0.8,a_fitted_matched,draw23,9.9094415,0.37992988886878065,26.013458917968602,-0.040958441482526135,0.838325,0.97625
0.8,a_fitted_matched,draw24,9.9779534,0.3797349976965844,25.91415707488399,-0.04100601908379764,0.837625,0.976075
0.8,a_fitted_matched,draw25,9.9923277,0.3800136892267751,26.075758950151577,-0.04073275299995243,0.838675,0.975725
0.8,a_fitted_matched,draw26,9.9997044,0.38032286511360974,26.13234158432497,-0.040455710916374815,0.83975,0.9757
0.8,a_fitted_matched,draw27,9.9918306,0.38087332278591524,26.300947904609828,-0.0403281188711546,0.8407,0.975375
0.8,a_fitted_matched,draw28,9.999285,0.37950898971221225,26.12856266252107,-0.04077897161357227,0.839,0.97605
0.8,a_fitted_matched,draw29,9.979267,0.3798832136505165,25.907800896787055,-0.040811578961549626,0.8377,0.975775
0.8,a_fitted_matched,draw30,9.992938,0.37957419587756486,26.045654066826774,-0.040836953422636046,0.83875,0.976075
0.8,a_fitted_matched,draw31,9.9980116,0.3792215386729029,26.1370154307067,-0.040848441984766504,0.838875,0.976225
0.8,a_fitted_matched,draw32,9.992771000000001,0.37916360574616864,26.056636657140537,-0.04105686851685347,0.838425,0.976225
0.8,a_fitted_matched,draw33,9.9823725,0.3796590714099638,26.050062281885047,-0.04067950407827586,0.8388,0.97625
0.8,a_fitted_matched,draw34,9.997565999999999,0.38024886781636175,25.937463061239438,-0.04065770600745935,0.838375,0.9759
0.8,a_fitted_matched,draw35,9.995194699999999,0.3793639676587168,26.246765439180503,-0.040872966157703916,0.8392,0.97625
0.8,a_fitted_matched,draw36,9.9975467,0.3801670913160698,26.212846848997536,-0.04042837678720278,0.839425,0.975775
0.8,a_fitted_matched,draw37,9.948468,0.37913615717607835,25.843397949960064,-0.04133305728197703,0.8369,0.97675
0.8,a_fitted_matched,draw38,9.973625,0.38027391305543035,26.033643736273458,-0.040651202031070297,0.838575,0.97565
0.8,a_fitted_matched,draw39,9.9693716,0.3789111611205574,25.897495033892568,-0.04140649477841943,0.837125,0.976725
1.0,a_fitted_matched,draw0,9.956317,0.32264070699777636,27.46334108921218,-0.056893908799818864,0.8141,0.997075
1.0,a_fitted_matched,draw1,9.970753,0.32436781656465397,28.046882510398373,-0.0562682442959699,0.818,0.996575
1.0,a_fitted_matched,draw2,9.9765646,0.32443254838835756,27.75340733214645,-0.05630043655627511,0.816875,0.996825
1.0,a_fitted_matched,draw3,9.9862814,0.3230506646736406,27.77605556474857,-0.0566087634267874,0.8163,0.996975
1.0,a_fitted_matched,draw4,9.96747,0.32403606201532564,27.851654555631388,-0.05638889682806936,0.817125,0.9968
1.0,a_fitted_matched,draw5,9.9573195,0.3232068811900529,27.231837066266575,-0.05663546612359692,0.812825,0.997025
1.0,a_fitted_matched,draw6,9.9426365,0.3223836454467813,27.65284690255309,-0.05694567988355572,0.81455,0.997025
1.0,a_fitted_matched,draw7,9.986762,0.32269399137635024,27.73110695008694,-0.05657998719221412,0.816475,0.9971
1.0,a_fitted_matched,draw8,9.9701536,0.3234056619637711,27.591256801704823,-0.056652894498194016,0.815675,0.997
1.0,a_fitted_matched,draw9,9.9407625,0.3241580943102316,27.897531298786284,-0.05628121534283634,0.818025,0.99685
1.0,a_fitted_matched,draw10,9.990077000000001,0.3235331333762525,27.74627639602277,-0.05662375694296416,0.8162,0.996825
1.0,a_fitted_matched,draw11,9.931071,0.3231125504474501,27.61454539553313,-0.056527258874798196,0.815925,0.9971
1.0,a_fitted_matched,draw12,9.9133754,0.3236818869173868,27.6606102942088,-0.05667919825663194,0.815925,0.996925
1.0,a_fitted_matched,draw13,9.930893,0.32269607847960596,27.41095163521617,-0.05682535061307007,0.8137,0.997025
1.0,a_fitted_matched,draw14,9.976398,0.3241153086934895,27.97269231421316,-0.05645009828996513,0.817425,0.996625
1.0,a_fitted_matched,draw15,9.987076499999999,0.3231472090106055,27.775862665811303,-0.056522115112789775,0.816675,0.99695
