tag,gain,k,abs_coherence,n_obs,n_sim,acc_obs,acc_sim,omit_sim,qc10_obs,qc10_sim,qc10_err,qc30_obs,qc30_sim,qc30_err,qc50_obs,qc50_sim,qc50_err,qc70_obs,qc70_sim,qc70_err,qc90_obs,qc90_sim,qc90_err,qe10_obs,qe10_sim,qe10_err,qe30_obs,qe30_sim,qe30_err,qe50_obs,qe50_sim,qe50_err,qe70_obs,qe70_sim,qe70_err,qe90_obs,qe90_sim,qe90_err
g1.2_k10_b2.0_pooled,1.2,10.0,0.0,3615,19874,0.489073305670816,0.4908926235282278,0.006300000000000005,46.0,43.1,-2.8999999999999986,84.0,79.69999999999999,-4.300000000000011,126.0,125.6,-0.4000000000000057,185.79999999999973,197.2,11.400000000000261,327.1999999999998,349.00000000000006,21.80000000000024,,,,,,,,,,,,,,,
g1.2_k10_b2.0_pooled,1.2,10.0,0.03,7205,39806,0.6673143650242886,0.6639451338994121,0.0048500000000000045,46.0,43.0,-3.0,80.0,78.39999999999999,-1.6000000000000085,123.0,122.49999999999999,-0.5000000000000142,187.0,191.49999999999997,4.499999999999972,327.3000000000002,333.02000000000015,5.71999999999997,46.0,42.1,-3.8999999999999986,84.0,76.97999999999996,-7.020000000000039,129.0,120.09999999999998,-8.90000000000002,194.0,188.21999999999989,-5.780000000000115,327.0,325.84,-1.160000000000025
g1.2_k10_b2.0_pooled,1.2,10.0,0.06,7174,39910,0.7875662113186507,0.7893760962164871,0.002250000000000002,44.0,41.530000000000015,-2.4699999999999847,77.0,74.0,-3.0,115.0,114.89999999999998,-0.10000000000002274,174.0,175.40999999999983,1.409999999999826,301.0,303.17000000000013,2.1700000000001296,43.0,40.2,-2.799999999999997,77.0,72.0,-5.0,116.0,111.05000000000001,-4.949999999999989,176.0,169.35000000000002,-6.649999999999977,310.70000000000005,295.45000000000005,-15.25
g1.2_k10_b2.0_pooled,1.2,10.0,0.09,7389,39977,0.879415347137637,0.8770042774595392,0.0005750000000000005,41.0,38.900000000000006,-2.0999999999999943,70.0,67.5,-2.5,104.5,101.19999999999999,-3.3000000000000114,151.0,151.7,0.6999999999999886,259.0,261.5100000000002,2.5100000000002183,41.0,37.300000000000004,-3.6999999999999957,75.0,64.10000000000001,-10.899999999999991,109.0,97.7,-11.299999999999997,158.0,150.7,-7.300000000000011,268.0,255.80000000000004,-12.19999999999996
g1.2_k10_b2.0_pooled,1.2,10.0,0.12,7231,39995,0.9329276725210898,0.9334416802100263,0.0001250000000000001,38.0,36.199999999999996,-1.8000000000000043,63.0,60.20000000000001,-2.79999999999999,90.0,88.19999999999999,-1.8000000000000114,130.0,130.5,0.5,214.0,220.60000000000005,6.600000000000051,39.0,34.39999999999999,-4.6000000000000085,61.0,55.83,-5.170000000000002,95.0,81.9,-13.099999999999994,138.0,123.46999999999998,-14.530000000000015,232.0,212.08000000000007,-19.91999999999993
g1.2_k10_b2.0_pooled,1.2,10.0,0.15,7300,39999,0.9650684931506849,0.962299057476437,2.500000000000002e-05,34.0,33.7,-0.29999999999999716,55.0,54.2,-0.7999999999999972,77.0,77.69999999999999,0.6999999999999886,109.0,111.40000000000002,2.40000000000002,181.0,183.39999999999998,2.3999999999999773,37.400000000000006,31.6,-5.800000000000004,58.2,50.70999999999999,-7.490000000000016,86.0,73.64999999999999,-12.350000000000009,122.79999999999998,107.39,-15.409999999999982,186.59999999999997,178.53,-8.069999999999965
