acoh,is_correct,quantile,rt,proportion,n,draw,gain,bound,k
0.0,False,0.25,144.0,0.5089913995308835,1302,-1,0.8,2.0,10.0
0.0,False,0.5,277.5,0.5089913995308835,1302,-1,0.8,2.0,10.0
0.0,False,0.75,465.5,0.5089913995308835,1302,-1,0.8,2.0,10.0
0.0,True,0.25,162.75,0.4910086004691165,1256,-1,0.8,2.0,10.0
0.0,True,0.5,286.5,0.4910086004691165,1256,-1,0.8,2.0,10.0
0.0,True,0.75,462.25,0.4910086004691165,1256,-1,0.8,2.0,10.0
0.03,False,0.25,152.0,0.25683466617072714,1381,-1,0.8,2.0,10.0
0.03,False,0.5,274.0,0.25683466617072714,1381,-1,0.8,2.0,10.0
0.03,False,0.75,450.0,0.25683466617072714,1381,-1,0.8,2.0,10.0
0.03,True,0.25,146.0,0.7431653338292729,3996,-1,0.8,2.0,10.0
0.03,True,0.5,270.0,0.7431653338292729,3996,-1,0.8,2.0,10.0
0.03,True,0.75,441.0,0.7431653338292729,3996,-1,0.8,2.0,10.0
0.06,False,0.25,122.75,0.10726408689748812,632,-1,0.8,2.0,10.0
0.06,False,0.5,240.0,0.10726408689748812,632,-1,0.8,2.0,10.0
0.06,False,0.75,437.25,0.10726408689748812,632,-1,0.8,2.0,10.0
0.06,True,0.25,138.0,0.8927359131025119,5260,-1,0.8,2.0,10.0
0.06,True,0.5,254.5,0.8927359131025119,5260,-1,0.8,2.0,10.0
0.06,True,0.75,422.0,0.8927359131025119,5260,-1,0.8,2.0,10.0
0.09,False,0.25,104.0,0.04172234595397179,281,-1,0.8,2.0,10.0
0.09,False,0.5,191.0,0.04172234595397179,281,-1,0.8,2.0,10.0
0.09,False,0.75,351.0,0.04172234595397179,281,-1,0.8,2.0,10.0
0.09,True,0.25,122.25,0.9582776540460282,6454,-1,0.8,2.0,10.0
0.09,True,0.5,215.0,0.9582776540460282,6454,-1,0.8,2.0,10.0
0.09,True,0.75,363.0,0.9582776540460282,6454,-1,0.8,2.0,10.0
0.12,False,0.25,72.0,0.015749169195203007,109,-1,0.8,2.0,10.0
0.12,False,0.5,123.0,0.015749169195203007,109,-1,0.8,2.0,10.0
0.12,False,0.75,212.0,0.015749169195203007,109,-1,0.8,2.0,10.0
0.12,True,0.25,103.0,0.984250830804797,6812,-1,0.8,2.0,10.0
0.12,True,0.5,179.0,0.984250830804797,6812,-1,0.8,2.0,10.0
0.12,True,0.75,298.0,0.984250830804797,6812,-1,0.8,2.0,10.0
0.15,False,0.25,60.25,0.005030743432084964,36,-1,0.8,2.0,10.0
0.15,False,0.5,113.5,0.005030743432084964,36,-1,0.8,2.0,10.0
0.15,False,0.75,175.5,0.005030743432084964,36,-1,0.8,2.0,10.0
0.15,True,0.25,88.0,0.994969256567915,7120,-1,0.8,2.0,10.0
0.15,True,0.5,144.0,0.994969256567915,7120,-1,0.8,2.0,10.0
0.15,True,0.75,238.0,0.994969256567915,7120,-1,0.8,2.0,10.0
0.0,False,0.25,128.7,0.506660542030317,1103,1,0.8,2.0,10.0
0.0,False,0.5,251.20000000000005,0.506660542030317,1103,1,0.8,2.0,10.0
0.0,False,0.75,410.0,0.506660542030317,1103,1,0.8,2.0,10.0
0.0,True,0.25,132.92499999999998,0.49333945796968304,1074,1,0.8,2.0,10.0
0.0,True,0.5,252.20000000000005,0.49333945796968304,1074,1,0.8,2.0,10.0
0.0,True,0.75,421.1250000000001,0.49333945796968304,1074,1,0.8,2.0,10.0
0.03,False,0.25,129.6,0.28267411865864145,1315,1,0.8,2.0,10.0
0.03,False,0.5,243.10000000000005,0.28267411865864145,1315,1,0.8,2.0,10.0
0.03,False,0.75,412.70000000000005,0.28267411865864145,1315,1,0.8,2.0,10.0
0.03,True,0.25,131.79999999999998,0.7173258813413586,3337,1,0.8,2.0,10.0
0.03,True,0.5,245.60000000000005,0.7173258813413586,3337,1,0.8,2.0,10.0
0.03,True,0.75,411.80000000000007,0.7173258813413586,3337,1,0.8,2.0,10.0
0.06,False,0.25,113.89999999999998,0.13287873203096204,721,1,0.8,2.0,10.0
0.06,False,0.5,202.20000000000002,0.13287873203096204,721,1,0.8,2.0,10.0
0.06,False,0.75,344.90000000000003,0.13287873203096204,721,1,0.8,2.0,10.0
0.06,True,0.25,124.49999999999999,0.867121267969038,4705,1,0.8,2.0,10.0
0.06,True,0.5,223.40000000000003,0.867121267969038,4705,1,0.8,2.0,10.0
0.06,True,0.75,372.90000000000003,0.867121267969038,4705,1,0.8,2.0,10.0
0.09,False,0.25,90.7,0.07177033492822966,465,1,0.8,2.0,10.0
0.09,False,0.5,178.5,0.07177033492822966,465,1,0.8,2.0,10.0
0.09,False,0.75,325.40000000000003,0.07177033492822966,465,1,0.8,2.0,10.0
0.09,True,0.25,111.19999999999999,0.9282296650717703,6014,1,0.8,2.0,10.0
0.09,True,0.5,188.45,0.9282296650717703,6014,1,0.8,2.0,10.0
0.09,True,0.75,320.05,0.9282296650717703,6014,1,0.8,2.0,10.0
0.12,False,0.25,86.55,0.026662760035159685,182,1,0.8,2.0,10.0
0.12,False,0.5,158.1,0.026662760035159685,182,1,0.8,2.0,10.0
0.12,False,0.75,258.975,0.026662760035159685,182,1,0.8,2.0,10.0
0.12,True,0.25,96.8,0.9733372399648403,6644,1,0.8,2.0,10.0
0.12,True,0.5,165.9,0.9733372399648403,6644,1,0.8,2.0,10.0
0.12,True,0.75,272.02500000000003,0.9733372399648403,6644,1,0.8,2.0,10.0
0.15,False,0.25,80.175,0.014297729184188394,102,1,0.8,2.0,10.0
0.15,False,0.5,115.49999999999999,0.014297729184188394,102,1,0.8,2.0,10.0
0.15,False,0.75,187.75,0.014297729184188394,102,1,0.8,2.0,10.0
0.15,True,0.25,84.99999999999999,0.9857022708158116,7032,1,0.8,2.0,10.0
0.15,True,0.5,135.7,0.9857022708158116,7032,1,0.8,2.0,10.0
0.15,True,0.75,217.80000000000004,0.9857022708158116,7032,1,0.8,2.0,10.0
0.0,False,0.25,144.7,0.5023105360443623,1087,4,0.8,2.0,10.0
0.0,False,0.5,256.00000000000006,0.5023105360443623,1087,4,0.8,2.0,10.0
0.0,False,0.75,418.6,0.5023105360443623,1087,4,0.8,2.0,10.0
0.0,True,0.25,131.6,0.49768946395563773,1077,4,0.8,2.0,10.0
0.0,True,0.5,235.80000000000007,0.49768946395563773,1077,4,0.8,2.0,10.0
0.0,True,0.75,406.80000000000007,0.49768946395563773,1077,4,0.8,2.0,10.0
0.03,False,0.25,125.5,0.2937539970155617,1378,4,0.8,2.0,10.0
0.03,False,0.5,239.05,0.2937539970155617,1378,4,0.8,2.0,10.0
0.03,False,0.75,406.25000000000006,0.2937539970155617,1378,4,0.8,2.0,10.0
0.03,True,0.25,134.79999999999998,0.7062460029844383,3313,4,0.8,2.0,10.0
0.03,True,0.5,248.50000000000003,0.7062460029844383,3313,4,0.8,2.0,10.0
0.03,True,0.75,408.1,0.7062460029844383,3313,4,0.8,2.0,10.0
0.06,False,0.25,121.625,0.14912118408880667,806,4,0.8,2.0,10.0
0.06,False,0.5,238.90000000000003,0.14912118408880667,806,4,0.8,2.0,10.0
0.06,False,0.75,399.175,0.14912118408880667,806,4,0.8,2.0,10.0
0.06,True,0.25,125.0,0.8508788159111933,4599,4,0.8,2.0,10.0
0.06,True,0.5,220.00000000000003,0.8508788159111933,4599,4,0.8,2.0,10.0
0.06,True,0.75,374.5,0.8508788159111933,4599,4,0.8,2.0,10.0
0.09,False,0.25,102.85,0.07202472952086553,466,4,0.8,2.0,10.0
0.09,False,0.5,171.95,0.07202472952086553,466,4,0.8,2.0,10.0
0.09,False,0.75,321.05,0.07202472952086553,466,4,0.8,2.0,10.0
0.09,True,0.25,108.3,0.9279752704791344,6004,4,0.8,2.0,10.0
0.09,True,0.5,189.70000000000002,0.9279752704791344,6004,4,0.8,2.0,10.0
0.09,True,0.75,317.75000000000006,0.9279752704791344,6004,4,0.8,2.0,10.0
0.12,False,0.25,87.79999999999998,0.02910207663059374,199,4,0.8,2.0,10.0
0.12,False,0.5,147.1,0.02910207663059374,199,4,0.8,2.0,10.0
0.12,False,0.75,243.60000000000002,0.02910207663059374,199,4,0.8,2.0,10.0
0.12,True,0.25,98.64999999999999,0.9708979233694063,6639,4,0.8,2.0,10.0
0.12,True,0.5,165.09999999999997,0.9708979233694063,6639,4,0.8,2.0,10.0
0.12,True,0.75,271.25,0.9708979233694063,6639,4,0.8,2.0,10.0
0.15,False,0.25,78.05,0.013445378151260505,96,4,0.8,2.0,10.0
0.15,False,0.5,115.49999999999997,0.013445378151260505,96,4,0.8,2.0,10.0
0.15,False,0.75,185.42499999999998,0.013445378151260505,96,4,0.8,2.0,10.0
0.15,True,0.25,84.875,0.9865546218487395,7044,4,0.8,2.0,10.0
0.15,True,0.5,136.75,0.9865546218487395,7044,4,0.8,2.0,10.0
0.15,True,0.75,219.05,0.9865546218487395,7044,4,0.8,2.0,10.0
0.0,False,0.25,131.15,0.5116495806150979,1098,8,0.8,2.0,10.0
0.0,False,0.5,256.70000000000005,0.5116495806150979,1098,8,0.8,2.0,10.0
0.0,False,0.75,451.95000000000005,0.5116495806150979,1098,8,0.8,2.0,10.0
0.0,True,0.25,138.84999999999997,0.48835041938490215,1048,8,0.8,2.0,10.0
0.0,True,0.5,248.90000000000003,0.48835041938490215,1048,8,0.8,2.0,10.0
0.0,True,0.75,428.40000000000003,0.48835041938490215,1048,8,0.8,2.0,10.0
0.03,False,0.25,132.5,0.28525434642627173,1329,8,0.8,2.0,10.0
0.03,False,0.5,241.50000000000006,0.28525434642627173,1329,8,0.8,2.0,10.0
0.03,False,0.75,392.79999999999995,0.28525434642627173,1329,8,0.8,2.0,10.0
0.03,True,0.25,135.825,0.7147456535737282,3330,8,0.8,2.0,10.0
0.03,True,0.5,247.90000000000003,0.7147456535737282,3330,8,0.8,2.0,10.0
0.03,True,0.75,417.5000000000001,0.7147456535737282,3330,8,0.8,2.0,10.0
0.06,False,0.25,110.9,0.14367603550295857,777,8,0.8,2.0,10.0
0.06,False,0.5,209.70000000000005,0.14367603550295857,777,8,0.8,2.0,10.0
0.06,False,0.75,366.40000000000003,0.14367603550295857,777,8,0.8,2.0,10.0
0.06,True,0.25,124.44999999999999,0.8563239644970414,4631,8,0.8,2.0,10.0
0.06,True,0.5,224.60000000000005,0.8563239644970414,4631,8,0.8,2.0,10.0
0.06,True,0.75,383.4000000000001,0.8563239644970414,4631,8,0.8,2.0,10.0
0.09,False,0.25,105.2,0.06417772292502315,416,8,0.8,2.0,10.0
0.09,False,0.5,198.9,0.06417772292502315,416,8,0.8,2.0,10.0
0.09,False,0.75,312.725,0.06417772292502315,416,8,0.8,2.0,10.0
0.09,True,0.25,110.32499999999999,0.9358222770749769,6066,8,0.8,2.0,10.0
0.09,True,0.5,197.60000000000002,0.9358222770749769,6066,8,0.8,2.0,10.0
0.09,True,0.75,328.70000000000005,0.9358222770749769,6066,8,0.8,2.0,10.0
0.12,False,0.25,79.39999999999999,0.028796959508843735,197,8,0.8,2.0,10.0
0.12,False,0.5,126.1,0.028796959508843735,197,8,0.8,2.0,10.0
0.12,False,0.75,213.00000000000003,0.028796959508843735,197,8,0.8,2.0,10.0
0.12,True,0.25,93.9,0.9712030404911562,6644,8,0.8,2.0,10.0
0.12,True,0.5,158.6,0.9712030404911562,6644,8,0.8,2.0,10.0
0.12,True,0.75,261.62500000000006,0.9712030404911562,6644,8,0.8,2.0,10.0
0.15,False,0.25,62.37499999999999,0.014017381553125876,100,8,0.8,2.0,10.0
0.15,False,0.5,89.30000000000001,0.014017381553125876,100,8,0.8,2.0,10.0
0.15,False,0.75,161.75,0.014017381553125876,100,8,0.8,2.0,10.0
0.15,True,0.25,84.9,0.9859826184468741,7034,8,0.8,2.0,10.0
0.15,True,0.5,137.4,0.9859826184468741,7034,8,0.8,2.0,10.0
0.15,True,0.75,217.37500000000003,0.9859826184468741,7034,8,0.8,2.0,10.0
0.0,False,0.25,134.625,0.4984198645598194,1104,26,0.8,2.0,10.0
0.0,False,0.5,241.8,0.4984198645598194,1104,26,0.8,2.0,10.0
0.0,False,0.75,430.45,0.4984198645598194,1104,26,0.8,2.0,10.0
0.0,True,0.25,133.84999999999997,0.5015801354401805,1111,26,0.8,2.0,10.0
0.0,True,0.5,253.70000000000005,0.5015801354401805,1111,26,0.8,2.0,10.0
0.0,True,0.75,412.70000000000005,0.5015801354401805,1111,26,0.8,2.0,10.0
0.03,False,0.25,136.04999999999998,0.2844056242011078,1335,26,0.8,2.0,10.0
0.03,False,0.5,243.20000000000002,0.2844056242011078,1335,26,0.8,2.0,10.0
0.03,False,0.75,401.65000000000003,0.2844056242011078,1335,26,0.8,2.0,10.0
0.03,True,0.25,137.04999999999998,0.7155943757988922,3359,26,0.8,2.0,10.0
0.03,True,0.5,249.8,0.7155943757988922,3359,26,0.8,2.0,10.0
0.03,True,0.75,405.40000000000003,0.7155943757988922,3359,26,0.8,2.0,10.0
0.06,False,0.25,102.00000000000001,0.14860396767083028,809,26,0.8,2.0,10.0
0.06,False,0.5,205.00000000000003,0.14860396767083028,809,26,0.8,2.0,10.0
0.06,False,0.75,365.1,0.14860396767083028,809,26,0.8,2.0,10.0
0.06,True,0.25,123.55,0.8513960323291697,4635,26,0.8,2.0,10.0
0.06,True,0.5,224.80000000000004,0.8513960323291697,4635,26,0.8,2.0,10.0
0.06,True,0.75,375.65000000000003,0.8513960323291697,4635,26,0.8,2.0,10.0
0.09,False,0.25,90.25,0.06670756019015489,435,26,0.8,2.0,10.0
0.09,False,0.5,169.29999999999998,0.06670756019015489,435,26,0.8,2.0,10.0
0.09,False,0.75,314.4000000000001,0.06670756019015489,435,26,0.8,2.0,10.0
