param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.019,0.026,-0.064,0.032,0.0,0.0,3081.0,2884.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
v_coherence_signed,8.559,0.272,8.079,9.084,0.005,0.005,3037.0,2007.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
a,0.935,0.008,0.919,0.951,0.0,0.0,2790.0,2263.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
z,0.47,0.008,0.454,0.485,0.0,0.0,3081.0,3237.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
g,0.958,0.038,0.887,1.0,0.001,0.001,2110.0,1738.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
v(0.15),1.265,0.047,1.177,1.354,0.001,0.001,3068.0,2625.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
v(0),-0.019,0.026,-0.064,0.032,0.0,0.0,3081.0,2884.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
v(-0.15),-1.303,0.049,-1.392,-1.209,0.001,0.001,3060.0,2379.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
g_native,9.581,0.383,8.869,10.0,0.007,0.008,2110.0,1738.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
a_native,0.296,0.003,0.291,0.301,0.0,0.0,2790.0,2263.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
v_native(0.15),4.0,0.149,3.721,4.282,0.003,0.002,3068.0,2625.0,1.0,1.2,10.0,1.5,44,1998,0.37,g1.2_k10_b1.5_s44
