param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.041,0.043,-0.121,0.04,0.003,0.001,222.0,611.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
v_coherence_signed,9.323,0.094,9.164,9.515,0.001,0.001,5385.0,3308.0,1.0,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
z,0.497,0.003,0.491,0.502,0.0,0.0,5395.0,3193.0,1.0,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
a_Intercept,-0.684,0.018,-0.719,-0.652,0.001,0.0,484.0,985.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
g_Intercept,5.554,0.602,4.42,6.642,0.009,0.01,4560.0,2465.0,1.0,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
v_1|seed_sigma,0.179,0.032,0.125,0.238,0.001,0.001,661.0,980.0,1.0,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
a_1|seed_sigma,0.077,0.014,0.052,0.104,0.0,0.0,850.0,1449.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
g_1|seed_sigma,0.255,0.167,0.001,0.552,0.002,0.003,3672.0,1922.0,1.0,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
v(0.15),1.181,0.029,1.125,1.233,0.002,0.001,254.0,847.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
v(0),-0.041,0.043,-0.121,0.04,0.003,0.001,222.0,611.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
v(-0.15),-1.233,0.028,-1.283,-1.176,0.002,0.001,241.0,709.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
g_model,0.991,0.005,0.981,0.999,0.0,0.0,4560.0,2465.0,1.0,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
a_model,1.206,0.011,1.184,1.225,0.0,0.0,484.0,985.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
g_native,9.909,0.051,9.815,9.986,0.001,0.001,4560.0,2465.0,1.0,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
a_native,0.381,0.003,0.375,0.387,0.0,0.0,484.0,985.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
v_native(0.15),3.736,0.092,3.559,3.898,0.006,0.003,254.0,847.0,1.01,0.8,10.0,1.5,0,20000,0.35,g0.8_k10_b1.5_pooled_hier_n20000
