param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.12,0.021,-0.158,-0.08,0.0,0.0,3136.0,2841.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
v_coherence_signed,7.228,0.227,6.825,7.675,0.004,0.004,3048.0,2253.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
a,1.092,0.009,1.075,1.11,0.0,0.0,2801.0,2367.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
z,0.458,0.009,0.442,0.474,0.0,0.0,3109.0,2850.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
g,0.974,0.025,0.93,1.0,0.0,0.001,2067.0,1616.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
v(0.15),0.965,0.038,0.897,1.039,0.001,0.001,3169.0,2731.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
v(0),-0.12,0.021,-0.158,-0.08,0.0,0.0,3136.0,2841.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
v(-0.15),-1.204,0.041,-1.279,-1.124,0.001,0.001,3002.0,2753.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
g_native,15.582,0.395,14.878,16.0,0.008,0.01,2067.0,1616.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
a_native,0.273,0.002,0.269,0.277,0.0,0.0,2801.0,2367.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
v_native(0.15),3.858,0.153,3.59,4.157,0.003,0.002,3169.0,2731.0,1.0,1.2,16.0,1.5,49,2000,0.444,g1.2_k16_b1.5_s49
