tag,gain,k,abs_coherence,n_obs,n_sim,acc_obs,acc_sim,omit_sim,qc10_obs,qc10_sim,qc10_err,qc30_obs,qc30_sim,qc30_err,qc50_obs,qc50_sim,qc50_err,qc70_obs,qc70_sim,qc70_err,qc90_obs,qc90_sim,qc90_err,qe10_obs,qe10_sim,qe10_err,qe30_obs,qe30_sim,qe30_err,qe50_obs,qe50_sim,qe50_err,qe70_obs,qe70_sim,qe70_err,qe90_obs,qe90_sim,qe90_err
g1.0_k10_b1.5_pooled,1.0,10.0,0.0,3611,991,0.48850733868734425,0.47426841574167505,0.009000000000000008,40.0,36.900000000000006,-3.0999999999999943,78.0,72.6,-5.400000000000006,123.0,119.00000000000003,-3.9999999999999716,191.0,191.49999999999997,0.4999999999999716,352.0,338.80000000000007,-13.199999999999932,,,,,,,,,,,,,,,
g1.0_k10_b1.5_pooled,1.0,10.0,0.03,7187,1994,0.6663420064004453,0.6710130391173521,0.0030000000000000027,39.0,37.84000000000001,-1.1599999999999895,74.0,72.61,-1.3900000000000006,121.0,113.35,-7.650000000000006,191.0,183.79999999999998,-7.200000000000017,339.1999999999998,309.66999999999996,-29.52999999999986,38.0,37.150000000000006,-0.8499999999999943,76.0,72.09999999999998,-3.90000000000002,124.0,114.9,-9.099999999999994,194.0,173.39999999999992,-20.60000000000008,339.3000000000002,313.15,-26.150000000000205
g1.0_k10_b1.5_pooled,1.0,10.0,0.06,7165,1997,0.7893928820655967,0.7686529794692039,0.0015000000000000013,38.0,36.42,-1.5799999999999983,71.0,67.83999999999999,-3.160000000000011,115.0,107.5,-7.5,181.0,167.78,-13.219999999999999,315.5,294.40000000000003,-21.099999999999966,34.0,36.510000000000005,2.510000000000005,66.0,63.14999999999997,-2.85000000000003,108.0,104.39999999999999,-3.6000000000000085,168.0,159.27999999999997,-8.720000000000027,305.4000000000001,278.16000000000014,-27.239999999999952
g1.0_k10_b1.5_pooled,1.0,10.0,0.09,7388,1997,0.8807525717379534,0.8627941912869304,0.0015000000000000013,35.0,34.03999999999999,-0.960000000000008,65.0,61.14000000000001,-3.8599999999999923,102.0,93.30000000000001,-8.699999999999989,151.0,145.81999999999994,-5.180000000000064,265.0,250.06,-14.939999999999998,33.0,34.31,1.3100000000000023,62.0,55.46999999999999,-6.530000000000008,100.0,81.74999999999999,-18.250000000000014,151.0,143.41,-7.590000000000003,272.0,264.53000000000003,-7.46999999999997
g1.0_k10_b1.5_pooled,1.0,10.0,0.12,7230,2000,0.9354080221300138,0.931,0.0,32.0,31.21,-0.7899999999999991,58.0,57.13,-0.8699999999999974,87.0,84.19999999999999,-2.8000000000000114,130.0,124.36999999999998,-5.630000000000024,223.0,211.79000000000005,-11.209999999999951,30.6,37.37,6.769999999999996,52.0,54.81,2.8100000000000023,81.0,87.30000000000001,6.300000000000011,123.19999999999999,128.42999999999998,5.22999999999999,212.0,228.53,16.53
g1.0_k10_b1.5_pooled,1.0,10.0,0.15,7300,2000,0.9657534246575342,0.9615,0.0,29.0,31.6,2.6000000000000014,50.0,51.96,1.9600000000000009,74.0,74.0,0.0,108.0,109.80000000000001,1.8000000000000114,181.0,185.0,4.0,27.0,22.779999999999998,-4.220000000000002,45.7,36.980000000000004,-8.719999999999999,62.5,56.00000000000001,-6.499999999999993,97.29999999999998,85.01999999999995,-12.28000000000003,152.0,136.12000000000003,-15.879999999999967
