acoh,is_correct,quantile,rt,proportion,n,draw,gain,bound,k
0.0,False,0.25,66.0,0.5078925505400166,1834,-1,1.0,1.5,10.0
0.0,False,0.5,120.0,0.5078925505400166,1834,-1,1.0,1.5,10.0
0.0,False,0.75,216.0,0.5078925505400166,1834,-1,1.0,1.5,10.0
0.0,True,0.25,69.0,0.49210744945998336,1777,-1,1.0,1.5,10.0
0.0,True,0.5,126.0,0.49210744945998336,1777,-1,1.0,1.5,10.0
0.0,True,0.75,213.0,0.49210744945998336,1777,-1,1.0,1.5,10.0
0.03,False,0.25,64.25,0.3336579935995547,2398,-1,1.0,1.5,10.0
0.03,False,0.5,124.0,0.3336579935995547,2398,-1,1.0,1.5,10.0
0.03,False,0.75,221.0,0.3336579935995547,2398,-1,1.0,1.5,10.0
0.03,True,0.25,66.0,0.6663420064004453,4789,-1,1.0,1.5,10.0
0.03,True,0.5,121.0,0.6663420064004453,4789,-1,1.0,1.5,10.0
0.03,True,0.75,216.0,0.6663420064004453,4789,-1,1.0,1.5,10.0
0.06,False,0.25,58.0,0.21060711793440334,1509,-1,1.0,1.5,10.0
0.06,False,0.5,108.0,0.21060711793440334,1509,-1,1.0,1.5,10.0
0.06,False,0.75,192.0,0.21060711793440334,1509,-1,1.0,1.5,10.0
0.06,True,0.25,62.0,0.7893928820655967,5656,-1,1.0,1.5,10.0
0.06,True,0.5,115.0,0.7893928820655967,5656,-1,1.0,1.5,10.0
0.06,True,0.75,202.0,0.7893928820655967,5656,-1,1.0,1.5,10.0
0.09,False,0.25,53.0,0.11924742826204657,881,-1,1.0,1.5,10.0
0.09,False,0.5,100.0,0.11924742826204657,881,-1,1.0,1.5,10.0
0.09,False,0.75,170.0,0.11924742826204657,881,-1,1.0,1.5,10.0
0.09,True,0.25,56.5,0.8807525717379534,6507,-1,1.0,1.5,10.0
0.09,True,0.5,102.0,0.8807525717379534,6507,-1,1.0,1.5,10.0
0.09,True,0.75,169.0,0.8807525717379534,6507,-1,1.0,1.5,10.0
0.12,False,0.25,46.5,0.06459197786998618,467,-1,1.0,1.5,10.0
0.12,False,0.5,81.0,0.06459197786998618,467,-1,1.0,1.5,10.0
0.12,False,0.75,137.5,0.06459197786998618,467,-1,1.0,1.5,10.0
0.12,True,0.25,51.0,0.9354080221300138,6763,-1,1.0,1.5,10.0
0.12,True,0.5,87.0,0.9354080221300138,6763,-1,1.0,1.5,10.0
0.12,True,0.75,146.0,0.9354080221300138,6763,-1,1.0,1.5,10.0
0.15,False,0.25,41.0,0.03424657534246575,250,-1,1.0,1.5,10.0
0.15,False,0.5,62.5,0.03424657534246575,250,-1,1.0,1.5,10.0
0.15,False,0.75,107.5,0.03424657534246575,250,-1,1.0,1.5,10.0
