param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.032,0.005,-0.041,-0.023,0.0,0.0,3094.0,3085.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
v_coherence_signed,9.026,0.054,8.918,9.12,0.001,0.001,2873.0,2598.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
a,1.109,0.002,1.105,1.112,0.0,0.0,3919.0,3312.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
z,0.496,0.002,0.493,0.5,0.0,0.0,2666.0,2824.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
g,0.998,0.002,0.995,1.0,0.0,0.0,2094.0,1415.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
v(0.15),1.322,0.009,1.304,1.339,0.0,0.0,2969.0,2611.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
v(0),-0.032,0.005,-0.041,-0.023,0.0,0.0,3094.0,3085.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
v(-0.15),-1.386,0.009,-1.403,-1.368,0.0,0.0,2897.0,2979.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
g_native,7.986,0.015,7.961,8.0,0.0,0.0,2094.0,1415.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
a_native,0.392,0.001,0.391,0.393,0.0,0.0,3919.0,3312.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
v_native(0.15),3.739,0.026,3.689,3.788,0.0,0.0,2969.0,2611.0,1.0,0.8,8.0,1.5,0,38640,0.34,g0.8_k8_b1.5_pooled
