param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.01,0.021,-0.048,0.03,0.0,0.0,2446.0,2749.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
v_coherence_signed,7.171,0.223,6.766,7.593,0.004,0.003,2923.0,2510.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
a,1.077,0.009,1.06,1.094,0.0,0.0,2676.0,2512.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
z,0.452,0.008,0.437,0.469,0.0,0.0,2763.0,2711.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
g,0.973,0.026,0.926,1.0,0.0,0.001,2212.0,1673.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
v(0.15),1.065,0.039,0.991,1.136,0.001,0.001,2753.0,2781.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
v(0),-0.01,0.021,-0.048,0.03,0.0,0.0,2446.0,2749.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
v(-0.15),-1.086,0.04,-1.162,-1.012,0.001,0.001,2772.0,2756.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
g_native,15.565,0.41,14.816,16.0,0.008,0.009,2212.0,1673.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
a_native,0.269,0.002,0.265,0.273,0.0,0.0,2676.0,2512.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
v_native(0.15),4.262,0.156,3.963,4.544,0.003,0.002,2753.0,2781.0,1.0,1.2,16.0,1.5,43,2000,0.428,g1.2_k16_b1.5_s43
