param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.051,0.006,-0.062,-0.039,0.0,0.0,2857.0,2549.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
v_coherence_signed,7.576,0.077,7.437,7.722,0.002,0.001,2451.0,2507.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
a,1.61,0.007,1.596,1.625,0.0,0.0,2203.0,2342.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
z,0.507,0.004,0.499,0.515,0.0,0.0,2976.0,2829.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
g,0.99,0.01,0.97,1.0,0.0,0.0,1806.0,1525.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
v(0.15),1.086,0.014,1.061,1.111,0.0,0.0,2670.0,2580.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
v(0),-0.051,0.006,-0.062,-0.039,0.0,0.0,2857.0,2549.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
v(-0.15),-1.187,0.013,-1.212,-1.164,0.0,0.0,2427.0,2376.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
g_model,0.99,0.01,0.97,1.0,0.0,0.0,1806.0,1525.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
a_model,1.61,0.007,1.596,1.625,0.0,0.0,2203.0,2342.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
g_native,9.896,0.102,9.705,10.0,0.002,0.003,1806.0,1525.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
a_native,0.509,0.002,0.505,0.514,0.0,0.0,2203.0,2342.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
v_native(0.15),3.433,0.043,3.354,3.515,0.001,0.001,2670.0,2580.0,1.0,0.8,10.0,2.94,0,13240,0.67,g0.8_k10_b2.94_pooled
