param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.078,0.018,-0.114,-0.045,0.0,0.0,2659.0,2620.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
v_coherence_signed,7.232,0.21,6.839,7.625,0.004,0.004,3059.0,2159.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
a,1.224,0.012,1.202,1.246,0.0,0.0,2365.0,1796.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
z,0.464,0.009,0.447,0.481,0.0,0.0,2655.0,2524.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
g,0.962,0.034,0.9,1.0,0.001,0.001,1806.0,1700.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
v(0.15),1.006,0.034,0.943,1.071,0.001,0.001,2988.0,2436.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
v(0),-0.078,0.018,-0.114,-0.045,0.0,0.0,2659.0,2620.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
v(-0.15),-1.163,0.038,-1.237,-1.091,0.001,0.001,2922.0,2290.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
g_native,15.384,0.548,14.396,15.999,0.012,0.014,1806.0,1700.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
a_native,0.306,0.003,0.3,0.312,0.0,0.0,2365.0,1796.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
v_native(0.15),4.025,0.137,3.773,4.284,0.003,0.002,2988.0,2436.0,1.0,1.0,16.0,1.5,55,1992,0.396,g1.0_k16_b1.5_s55
