param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.04,0.032,-0.098,0.023,0.001,0.001,855.0,1354.0,1.01,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
v_coherence_signed,9.723,0.117,9.506,9.94,0.001,0.002,7604.0,3062.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
z,0.498,0.003,0.493,0.503,0.0,0.0,8042.0,2939.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
a_Intercept,-1.202,0.016,-1.231,-1.17,0.0,0.0,1239.0,1902.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
g_Intercept,3.035,0.406,2.318,3.741,0.007,0.009,4842.0,2278.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
v_1|seed_sigma,0.134,0.026,0.091,0.183,0.001,0.001,1039.0,1678.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
a_1|seed_sigma,0.063,0.012,0.042,0.086,0.0,0.0,1182.0,1845.0,1.01,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
g_1|seed_sigma,0.241,0.162,0.012,0.541,0.003,0.003,2727.0,2342.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
v(0.15),1.22,0.023,1.178,1.263,0.001,0.0,1079.0,1813.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
v(0),-0.04,0.032,-0.098,0.023,0.001,0.001,855.0,1354.0,1.01,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
v(-0.15),-1.269,0.022,-1.311,-1.227,0.001,0.0,1062.0,1863.0,1.01,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
g_model,0.902,0.033,0.837,0.96,0.0,0.0,4842.0,2278.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
a_model,0.924,0.008,0.91,0.939,0.0,0.0,1239.0,1902.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
g_native,9.023,0.328,8.374,9.604,0.005,0.005,4842.0,2278.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
a_native,0.292,0.002,0.288,0.297,0.0,0.0,1239.0,1902.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
v_native(0.15),3.858,0.073,3.724,3.994,0.002,0.001,1079.0,1813.0,1.0,1.2,10.0,1.5,0,20000,0.34,g1.2_k10_b1.5_pooled_hier_n20000
