param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.014,0.019,-0.022,0.049,0.0,0.0,2777.0,2537.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
v_coherence_signed,7.091,0.211,6.706,7.508,0.004,0.003,2849.0,2602.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
a,1.19,0.013,1.166,1.215,0.0,0.0,2100.0,1869.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
z,0.534,0.009,0.516,0.551,0.0,0.0,2535.0,2438.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
g,0.942,0.049,0.854,1.0,0.001,0.001,1644.0,1603.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
v(0.15),1.077,0.038,1.003,1.146,0.001,0.001,2681.0,2554.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
v(0),0.014,0.019,-0.022,0.049,0.0,0.0,2777.0,2537.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
v(-0.15),-1.05,0.036,-1.115,-0.981,0.001,0.001,2959.0,2555.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
g_native,15.073,0.779,13.661,16.0,0.018,0.016,1644.0,1603.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
a_native,0.297,0.003,0.291,0.304,0.0,0.0,2100.0,1869.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
v_native(0.15),4.309,0.151,4.011,4.582,0.003,0.002,2681.0,2554.0,1.0,1.0,16.0,1.5,58,1996,0.38,g1.0_k16_b1.5_s58
