tag,kind,gain,k,bound,seed,n,n_seeds,subsample,t_fixed,t_native_ms,omission_frac,rt_min_native_ms,rt_median_native_ms,accuracy,p_choice_plus,draws,tune,chains,total_draws,divergences,divergence_frac,r_hat_max,ess_bulk_min,minutes,priors,edge_a,edge_g,edge_v0p15,edge_z,v_Intercept_mean,v_Intercept_sd,v_Intercept_hdi3,v_Intercept_hdi97,v_Intercept_r_hat,v_Intercept_ess_bulk,v_coherence_signed_mean,v_coherence_signed_sd,v_coherence_signed_hdi3,v_coherence_signed_hdi97,v_coherence_signed_r_hat,v_coherence_signed_ess_bulk,a_mean,a_sd,a_hdi3,a_hdi97,a_r_hat,a_ess_bulk,z_mean,z_sd,z_hdi3,z_hdi97,z_r_hat,z_ess_bulk,g_mean,g_sd,g_hdi3,g_hdi97,g_r_hat,g_ess_bulk,v0p15_mean,v0p15_sd,v0p15_hdi3,v0p15_hdi97,v0p15_r_hat,v0p15_ess_bulk,v0_mean,v0_sd,v0_hdi3,v0_hdi97,v0_r_hat,v0_ess_bulk,vm0p15_mean,vm0p15_sd,vm0p15_hdi3,vm0p15_hdi97,vm0p15_r_hat,vm0p15_ess_bulk,g_nat_mean,g_nat_sd,g_nat_hdi3,g_nat_hdi97,g_nat_r_hat,g_nat_ess_bulk,a_nat_mean,a_nat_sd,a_nat_hdi3,a_nat_hdi97,a_nat_r_hat,a_nat_ess_bulk,v_nat0p15_mean,v_nat0p15_sd,v_nat0p15_hdi3,v_nat0p15_hdi97,v_nat0p15_r_hat,v_nat0p15_ess_bulk
g1.0_k10_b1.5_s52,per_network,1.0,10.0,1.5,52.0,1993,1,all,0.35,4.999999999999999,0.0034999999999999476,6.0,102.0,0.8103361766181636,0.5243351731058705,1000,1000,4,4000,0,0.0,1.0,1950.0,1.5412811120351155,box uniform (explicit),0.0,0.328,0.0,0.0,0.103,0.023,0.061,0.149,1.0,2876.0,8.644,0.253,8.166,9.097,1.0,3269.0,1.054,0.01,1.035,1.073,1.0,2973.0,0.521,0.009,0.505,0.538,1.0,3017.0,0.954,0.04,0.878,1.0,1.0,1950.0,1.4,0.047,1.314,1.49,1.0,3056.0,0.103,0.023,0.061,0.149,1.0,2876.0,-1.193,0.042,-1.268,-1.114,1.0,3191.0,9.545,0.399,8.783,10.0,1.0,1950.0,0.333,0.003,0.327,0.339,1.0,2973.0,4.427,0.148,4.156,4.712,1.0,3056.0
g1.0_k10_b1.5_s53,per_network,1.0,10.0,1.5,53.0,1994,1,all,0.38,8.000000000000002,0.0030000000000000027,9.0,96.0,0.8164493480441324,0.4724172517552658,1000,1000,4,4000,0,0.0,1.0,2271.0,1.1384369532267253,box uniform (explicit),0.0,0.54575,0.0,0.0,-0.108,0.024,-0.152,-0.062,1.0,2271.0,8.779,0.254,8.299,9.252,1.0,2680.0,0.985,0.008,0.969,1.001,1.0,2856.0,0.517,0.008,0.501,0.532,1.0,3109.0,0.976,0.023,0.934,1.0,1.0,2653.0,1.209,0.043,1.126,1.287,1.0,2750.0,-0.108,0.024,-0.152,-0.062,1.0,2271.0,-1.425,0.047,-1.513,-1.337,1.0,2437.0,9.756,0.229,9.342,10.0,1.0,2653.0,0.311,0.003,0.306,0.316,1.0,2856.0,3.822,0.137,3.562,4.071,1.0,2750.0
g1.0_k10_b1.5_s54,per_network,1.0,10.0,1.5,54.0,1996,1,all,0.36,6.0,0.0020000000000000018,7.0,94.0,0.7925851703406813,0.4514028056112224,1000,1000,4,4000,0,0.0,1.0,2129.0,1.4587965289751688,box uniform (explicit),0.0,0.44225,0.0,0.0,-0.083,0.024,-0.128,-0.039,1.0,2861.0,8.866,0.265,8.376,9.364,1.0,2652.0,0.993,0.009,0.976,1.008,1.0,2897.0,0.451,0.008,0.436,0.467,1.0,2971.0,0.968,0.03,0.913,1.0,1.0,2129.0,1.247,0.045,1.165,1.337,1.0,2892.0,-0.083,0.024,-0.128,-0.039,1.0,2861.0,-1.413,0.047,-1.503,-1.327,1.0,2593.0,9.68,0.296,9.131,10.0,1.0,2129.0,0.314,0.003,0.309,0.319,1.0,2897.0,3.944,0.144,3.683,4.229,1.0,2892.0
g1.0_k10_b1.5_s55,per_network,1.0,10.0,1.5,55.0,1992,1,all,0.36,6.0,0.0040000000000000036,7.0,100.0,0.8152610441767069,0.4738955823293173,1000,1000,4,4000,0,0.0,1.0,2122.0,1.8996112187703451,box uniform (explicit),0.0,0.395,0.0,0.0,-0.097,0.023,-0.14,-0.055,1.0,2797.0,8.814,0.257,8.333,9.289,1.0,2698.0,1.032,0.01,1.015,1.049,1.0,2508.0,0.467,0.009,0.452,0.484,1.0,3103.0,0.963,0.033,0.904,1.0,1.0,2122.0,1.226,0.043,1.149,1.308,1.0,2682.0,-0.097,0.023,-0.14,-0.055,1.0,2797.0,-1.419,0.047,-1.505,-1.332,1.0,2744.0,9.634,0.332,9.042,10.0,1.0,2122.0,0.326,0.003,0.321,0.332,1.0,2508.0,3.876,0.135,3.633,4.137,1.0,2682.0
g1.0_k10_b1.5_s56,per_network,1.0,10.0,1.5,56.0,1998,1,all,0.38,8.000000000000002,0.0010000000000000009,9.0,90.5,0.8283283283283284,0.504004004004004,1000,1000,4,4000,0,0.0,1.0,1949.0,1.981877295176188,box uniform (explicit),0.0,0.3305,0.0,0.0,0.061,0.025,0.014,0.108,1.0,2851.0,9.905,0.279,9.378,10.421,1.0,3071.0,0.986,0.009,0.969,1.004,1.0,2631.0,0.454,0.008,0.439,0.47,1.0,2826.0,0.956,0.038,0.884,1.0,1.0,1949.0,1.547,0.049,1.457,1.641,1.0,2805.0,0.061,0.025,0.014,0.108,1.0,2851.0,-1.424,0.049,-1.517,-1.337,1.0,3202.0,9.561,0.384,8.842,10.0,1.0,1949.0,0.312,0.003,0.307,0.318,1.0,2631.0,4.892,0.155,4.608,5.189,1.0,2805.0
g1.0_k10_b1.5_s57,per_network,1.0,10.0,1.5,57.0,1987,1,all,0.39,9.000000000000004,0.00649999999999995,10.0,114.0,0.8454957221942627,0.5083039758429794,1000,1000,4,4000,0,0.0,1.0,2411.0,1.0509601314862569,box uniform (explicit),0.0,0.62725,0.0,0.0,0.003,0.022,-0.038,0.043,1.0,2535.0,8.921,0.243,8.494,9.413,1.0,2801.0,1.08,0.009,1.062,1.097,1.0,2986.0,0.452,0.009,0.436,0.469,1.0,2411.0,0.98,0.019,0.945,1.0,1.0,2497.0,1.341,0.041,1.265,1.419,1.0,2848.0,0.003,0.022,-0.038,0.043,1.0,2535.0,-1.335,0.044,-1.417,-1.252,1.0,2520.0,9.804,0.188,9.446,10.0,1.0,2497.0,0.342,0.003,0.336,0.347,1.0,2986.0,4.24,0.129,4.001,4.488,1.0,2848.0
g1.0_k10_b1.5_s58,per_network,1.0,10.0,1.5,58.0,1996,1,all,0.35,4.999999999999999,0.0020000000000000018,6.0,94.0,0.8106212424849699,0.531062124248497,1000,1000,4,4000,0,0.0,1.0,2090.0,1.2626476526260375,box uniform (explicit),0.0,0.32275,0.0,0.0,0.005,0.024,-0.038,0.049,1.0,2916.0,8.727,0.262,8.255,9.238,1.0,2940.0,1.0,0.009,0.982,1.017,1.0,2900.0,0.536,0.009,0.52,0.552,1.0,2473.0,0.956,0.037,0.887,1.0,1.0,2090.0,1.314,0.046,1.23,1.401,1.0,2787.0,0.005,0.024,-0.038,0.049,1.0,2916.0,-1.304,0.046,-1.39,-1.22,1.0,3108.0,9.561,0.374,8.874,10.0,1.0,2090.0,0.316,0.003,0.311,0.322,1.0,2900.0,4.156,0.146,3.89,4.432,1.0,2787.0
g1.0_k10_b1.5_s59,per_network,1.0,10.0,1.5,59.0,1998,1,all,0.36,6.0,0.0010000000000000009,7.0,103.0,0.8223223223223223,0.5315315315315315,1000,1000,4,4000,0,0.0,1.0,1521.0,1.6661697308222452,box uniform (explicit),0.0,0.0,0.0,0.0,-0.073,0.027,-0.121,-0.021,1.0,1766.0,8.667,0.255,8.161,9.136,1.0,2714.0,1.146,0.029,1.088,1.197,1.0,1573.0,0.595,0.008,0.579,0.61,1.0,2469.0,0.416,0.132,0.169,0.66,1.0,1521.0,1.227,0.048,1.139,1.317,1.0,1997.0,-0.073,0.027,-0.121,-0.021,1.0,1766.0,-1.373,0.045,-1.458,-1.29,1.0,2689.0,4.156,1.318,1.69,6.6,1.0,1521.0,0.362,0.009,0.344,0.379,1.0,1573.0,3.881,0.152,3.603,4.164,1.0,1997.0
g1.0_k10_b1.5_s60,per_network,1.0,10.0,1.5,60.0,1998,1,all,0.37,7.000000000000001,0.0010000000000000009,8.0,93.0,0.7992992992992993,0.4644644644644645,1000,1000,4,4000,0,0.0,1.0,2108.0,1.6040676434834797,box uniform (explicit),0.0,0.39275,0.0,0.0,-0.129,0.024,-0.175,-0.084,1.0,3148.0,8.738,0.262,8.247,9.222,1.0,2761.0,0.992,0.009,0.976,1.01,1.0,2614.0,0.491,0.008,0.474,0.506,1.0,3007.0,0.963,0.033,0.902,1.0,1.0,2108.0,1.182,0.044,1.097,1.263,1.0,3091.0,-0.129,0.024,-0.175,-0.084,1.0,3148.0,-1.44,0.048,-1.534,-1.355,1.0,2619.0,9.633,0.333,9.017,10.0,1.0,2108.0,0.314,0.003,0.309,0.32,1.0,2614.0,3.737,0.14,3.47,3.993,1.0,3091.0
g1.0_k10_b1.5_s61,per_network,1.0,10.0,1.5,61.0,1999,1,all,0.38,8.000000000000002,0.0004999999999999449,9.0,94.0,0.8159079539769885,0.4272136068034017,1000,1000,4,4000,0,0.0,1.0,1977.0,1.4058428168296815,box uniform (explicit),0.0,0.3995,0.0,0.0,-0.117,0.024,-0.163,-0.072,1.0,2738.0,8.847,0.256,8.383,9.325,1.0,2684.0,0.998,0.009,0.982,1.017,1.0,2766.0,0.428,0.008,0.411,0.442,1.0,2775.0,0.963,0.034,0.9,1.0,1.0,1977.0,1.21,0.043,1.123,1.285,1.0,2695.0,-0.117,0.024,-0.163,-0.072,1.0,2738.0,-1.444,0.048,-1.534,-1.357,1.0,2713.0,9.628,0.343,9.005,10.0,1.0,1977.0,0.316,0.003,0.311,0.321,1.0,2766.0,3.826,0.137,3.55,4.064,1.0,2695.0
