tag,kind,gain,k,n,t_fixed,omission_frac,g_mean,g_hdi3,g_hdi97,g_nat_mean,g_nat_hdi3,g_nat_hdi97,a_mean,a_nat_mean,v_Intercept_mean,v_coherence_signed_mean,v0p15_mean,z_mean,r_hat_max,ess_bulk_min,divergences,edge_g,edge_a,edge_v0p15,minutes
appendix_weibull_g1.0_k4_s42,appendix_weibull,1.0,4.0,2000,0.436,0.0,-0.106,-0.367,0.16,-0.425,-1.468,0.64,1.206,0.603,0.039,11.619,1.782,0.49,1.0,1742.0,0,0.0,0.0,0.0,2.3006749073664348
appendix_weibull_g1.0_k10_s42,appendix_weibull,1.0,10.0,2000,0.64,0.0,-0.219,-0.278,-0.154,-2.188,-2.777,-1.535,2.193,0.694,0.03,7.623,1.173,0.486,1.0,1778.0,0,0.0,0.0,0.0,1.6606584350268045
g0.8_k10_b1.5_pooled_hier_n20000,hierarchical,0.8,10.0,20000,0.35,0.03400000000000003,,,,9.909,9.815,9.986,,0.381,-0.041,9.323,1.181,0.497,1.01,222.0,0,0.963,0.0,0.0,86.62495646079381
g1.0_k10_b1.5_pooled_hier_n20000,hierarchical,1.0,10.0,20000,0.35,0.00297499999999995,,,,9.795,9.59,9.982,,0.324,-0.043,9.82,1.227,0.498,1.01,715.0,0,0.5615,0.0,0.0,68.53451889355978
g1.0_k10_b1.5_pooled_hier_n2000_smoke,hierarchical,1.0,10.0,2000,0.35,0.00297499999999995,,,,9.164,8.547,9.676,,0.326,-0.055,9.868,1.224,0.51,,8.0,0,0.0,0.0,0.0,1.07473091284434
g1.2_k10_b1.5_pooled_hier_n20000,hierarchical,1.2,10.0,20000,0.34,0.00029999999999996696,,,,9.023,8.374,9.604,,0.292,-0.04,9.723,1.22,0.498,1.01,855.0,0,0.00425,0.0,0.0,63.64238637288411
timing_g1.0_k10_n2000,timing,1.0,10.0,2000,0.36,0.00297499999999995,0.951,0.874,1.0,9.508,8.737,10.0,1.017,0.322,-0.045,8.694,1.259,0.511,1.0,1791.0,0,0.28975,0.0,0.0,1.456969137986501
