param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.009,0.02,-0.029,0.046,0.0,0.0,2479.0,2713.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
v_coherence_signed,7.334,0.23,6.889,7.752,0.004,0.004,3163.0,2338.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
a,1.107,0.01,1.09,1.125,0.0,0.0,2844.0,2258.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
z,0.451,0.009,0.435,0.466,0.0,0.0,2907.0,2741.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
g,0.969,0.03,0.915,1.0,0.001,0.001,2004.0,1912.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
v(0.15),1.109,0.04,1.037,1.186,0.001,0.001,2921.0,2493.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
v(0),0.009,0.02,-0.029,0.046,0.0,0.0,2479.0,2713.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
v(-0.15),-1.092,0.04,-1.167,-1.018,0.001,0.001,3027.0,2350.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
g_native,15.504,0.473,14.643,16.0,0.009,0.013,2004.0,1912.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
a_native,0.277,0.002,0.272,0.281,0.0,0.0,2844.0,2258.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
v_native(0.15),4.434,0.159,4.147,4.743,0.003,0.003,2921.0,2493.0,1.0,1.2,16.0,1.5,45,2000,0.396,g1.2_k16_b1.5_s45
