param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,true_native,gain,k,g_source,tag
v_Intercept,-0.019,0.007,-0.032,-0.007,0.0,0.0,2798.0,2749.0,1.0,-0.029997597702013965,-0.09486073307179708,0.8,10.0,fitted,recover_g0.8_k10_fitted
v_coherence_signed,8.145,0.072,8.01,8.283,0.001,0.001,2916.0,2527.0,1.0,8.373956986449999,26.48077710546176,0.8,10.0,fitted,recover_g0.8_k10_fitted
a,1.248,0.01,1.23,1.266,0.0,0.0,1571.0,2009.0,1.0,1.1928232291875,0.3772038250189538,0.8,10.0,fitted,recover_g0.8_k10_fitted
z,0.491,0.003,0.486,0.496,0.0,0.0,2628.0,2558.0,1.0,0.49678646876375,0.49678646876375,0.8,10.0,fitted,recover_g0.8_k10_fitted
g,0.651,0.038,0.583,0.724,0.001,0.001,1525.0,2007.0,1.0,0.97943658723375,9.794365872337501,0.8,10.0,fitted,recover_g0.8_k10_fitted
