param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.018,0.004,-0.025,-0.012,0.0,0.0,4874.0,3214.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
v_coherence_signed,6.908,0.043,6.827,6.985,0.001,0.001,2796.0,2702.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
a,1.411,0.003,1.406,1.416,0.0,0.0,3525.0,3061.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
z,0.491,0.002,0.487,0.496,0.0,0.0,2864.0,2449.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
g,0.999,0.001,0.996,1.0,0.0,0.0,2228.0,1392.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
v(0.15),1.018,0.007,1.005,1.032,0.0,0.0,3065.0,2937.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
v(0),-0.018,0.004,-0.025,-0.012,0.0,0.0,4874.0,3214.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
v(-0.15),-1.054,0.007,-1.068,-1.04,0.0,0.0,3278.0,2843.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
g_native,15.979,0.021,15.94,16.0,0.0,0.0,2228.0,1392.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
a_native,0.353,0.001,0.351,0.354,0.0,0.0,3525.0,3061.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
v_native(0.15),4.073,0.029,4.019,4.126,0.001,0.0,3065.0,2937.0,1.0,0.8,16.0,1.5,0,38640,0.38,g0.8_k16_b1.5_pooled
