param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.023,0.004,-0.03,-0.015,0.0,0.0,3589.0,2977.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
v_coherence_signed,7.678,0.046,7.595,7.766,0.001,0.001,2505.0,2343.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
a,1.28,0.002,1.276,1.284,0.0,0.0,3481.0,3195.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
z,0.494,0.002,0.49,0.498,0.0,0.0,2768.0,2572.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
g,0.998,0.002,0.995,1.0,0.0,0.0,2370.0,1637.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
v(0.15),1.129,0.008,1.114,1.143,0.0,0.0,2780.0,2537.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
v(0),-0.023,0.004,-0.03,-0.015,0.0,0.0,3589.0,2977.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
v(-0.15),-1.175,0.008,-1.189,-1.16,0.0,0.0,2574.0,2758.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
g_native,11.977,0.023,11.936,12.0,0.0,0.001,2370.0,1637.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
a_native,0.369,0.001,0.368,0.371,0.0,0.0,3481.0,3195.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
v_native(0.15),3.909,0.027,3.859,3.961,0.001,0.0,2780.0,2537.0,1.0,0.8,12.0,1.5,0,38640,0.36,g0.8_k12_b1.5_pooled
