param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.157,0.027,-0.207,-0.104,0.001,0.0,2794.0,2687.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
v_coherence_signed,8.629,0.284,8.095,9.153,0.005,0.005,3103.0,2351.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
a,0.889,0.009,0.873,0.906,0.0,0.0,2796.0,2333.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
z,0.497,0.008,0.481,0.512,0.0,0.0,2960.0,2963.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
g,0.944,0.048,0.856,1.0,0.001,0.001,2234.0,1657.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
v(0.15),1.137,0.048,1.043,1.223,0.001,0.001,3107.0,2806.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
v(0),-0.157,0.027,-0.207,-0.104,0.001,0.0,2794.0,2687.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
v(-0.15),-1.451,0.053,-1.554,-1.357,0.001,0.001,2964.0,2450.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
g_native,9.436,0.482,8.561,10.0,0.009,0.011,2234.0,1657.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
a_native,0.281,0.003,0.276,0.286,0.0,0.0,2796.0,2333.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
v_native(0.15),3.597,0.152,3.298,3.866,0.003,0.002,3107.0,2806.0,1.0,1.2,10.0,1.5,60,1999,0.36,g1.2_k10_b1.5_s60
