param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.014,0.004,-0.02,-0.006,0.0,0.0,2849.0,2540.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
v_coherence_signed,5.826,0.043,5.746,5.909,0.001,0.001,2687.0,2317.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
a,1.357,0.009,1.341,1.373,0.0,0.0,1840.0,2031.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
z,0.494,0.002,0.491,0.498,0.0,0.0,2318.0,2253.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
g,0.611,0.026,0.563,0.659,0.001,0.0,1807.0,1913.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
v(0.15),0.86,0.007,0.847,0.875,0.0,0.0,2759.0,2392.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
v(0),-0.014,0.004,-0.02,-0.006,0.0,0.0,2849.0,2540.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
v(-0.15),-0.887,0.007,-0.901,-0.873,0.0,0.0,2696.0,2605.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
g_model,0.611,0.026,0.563,0.659,0.001,0.0,1807.0,1913.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
a_model,1.357,0.009,1.341,1.373,0.0,0.0,1840.0,2031.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
g_native,14.675,0.618,13.518,15.805,0.015,0.012,1807.0,1913.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
a_native,0.277,0.002,0.274,0.28,0.0,0.0,1840.0,2031.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
v_native(0.15),4.214,0.037,4.148,4.288,0.001,0.001,2759.0,2392.0,1.0,1.2,24.0,1.5,0,39988,0.396,g1.2_k24_b1.5_pooled
