gain,variant,which,v0_nat,v1_nat,g_nat,a_nat,x0_nat,sigma,evidence_var_frac,t_nat,slope_net,slope_sim,acc_net,acc_sim,frac_bounded,n_trials,wnet0,wnet1,wnet2,wnet3,wnet4,wnet5,wnet6,wnet7,wsim0,wsim1,wsim2,wsim3,wsim4,wsim5,wsim6,wsim7,slope_sim_sd,slope_sim_lo,slope_sim_hi
0.8,a_fitted_sigma1,posterior_mean,-0.09486073307179708,26.48077710546176,9.794365872337501,0.3772038250189538,-0.002424312548262783,1.0,0.7012315561091477,0.009150000000000002,0.0391732580670018,-0.06259727375523715,0.865875,0.742775,0.9993,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.5442432806086767,0.24764281888246062,0.08823327328144513,0.06129511630893341,0.02128233572502926,0.02031362847416653,-0.0071174205028944615,0.009872125821903933,,,
0.8,a_fitted_sigma1,draws_mean(n=20),,,,,,,,,0.0391732580670018,-0.06280671031503599,0.865875,0.7406025000000002,0.99900875,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.5416777753868914,0.2515414518104728,0.09254283136594754,0.05821694646638035,0.022368033022716314,0.01761407784228658,-0.00629956797680165,0.009403004885176248,0.0023358247478171843,-0.06744854741046374,-0.05903848898561303
0.8,a_fitted_matched,posterior_mean,-0.09486073307179708,26.48077710546176,9.794365872337501,0.3772038250189538,-0.002424312548262783,0.5465971495451218,0.7012315561091477,0.009150000000000002,0.0391732580670018,-0.04139380386122763,0.865875,0.838725,0.9782,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.3233754920745864,0.24651990776425126,0.14896488301280128,0.11122684576334567,0.06441073369443363,0.043294006653643566,0.026239857863311074,0.035968272975723733,,,
0.8,a_fitted_matched,draws_mean(n=20),,,,,,,,,0.0391732580670018,-0.04145056956273086,0.865875,0.8331725000000002,0.97744875,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.32252432926249747,0.24462259180247167,0.14863452857421747,0.11412584406708108,0.06589619772728435,0.04726872629277195,0.02361600037590934,0.033311781697861774,0.00415471787965067,-0.047363035431761236,-0.03429932935515865
0.8,b_leakonly_sigma1,posterior_mean,-0.09486073307179708,26.48077710546176,9.794365872337501,,-0.002424312548262783,1.0,0.7012315561091477,0.009150000000000002,0.0391732580670018,0.06748394765416091,0.865875,0.760025,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.007235970748581031,0.0015747646568648197,0.004803899791717686,0.012182909598500566,0.03676350745027166,0.09544884375295973,0.23163446689527561,0.6103556367517192,,,
0.8,b_leakonly_sigma1,draws_mean(n=20),,,,,,,,,0.0391732580670018,0.06755086786283002,0.865875,0.7580425000000001,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.007785996848840645,0.001139289151317605,0.0034381832465606803,0.012292391826467523,0.03579047604403205,0.0975307657505306,0.22983686320139785,0.6113587394913902,0.0006826777390850223,0.06665665250901726,0.06877204575739404
0.8,b_leakonly_matched,posterior_mean,-0.09486073307179708,26.48077710546176,9.794365872337501,,-0.002424312548262783,0.5465971495451218,0.7012315561091477,0.009150000000000002,0.0391732580670018,0.06748570704100504,0.865875,0.8085,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.00799781504375053,-0.0026034861756858412,0.004003103287558417,0.01631597494496721,0.032327022797962644,0.09534969515777035,0.23405223716308554,0.6073506652275984,,,
0.8,b_leakonly_matched,draws_mean(n=20),,,,,,,,,0.0391732580670018,0.06726375353872918,0.865875,0.80547875,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.00935014355974989,-0.0017355005001579368,0.004561615547162058,0.017794537086187383,0.03013446528950442,0.09236724727381715,0.23258884294810858,0.6097468230781267,0.0005160641119340171,0.0661857699621684,0.06788728273974645
1.0,a_fitted_sigma1,posterior_mean,-0.08607360702808961,28.02481880576901,9.401860841625,0.3230514512044318,-0.004240500035558847,1.0,0.7853904690961843,0.007300000000000001,0.002138929304013984,-0.07283950822054817,0.887275,0.71,1.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.7280914336379959,0.19277517155684426,0.03048905995134374,0.025050727183976072,0.0018011123874320458,0.01642214090161407,-0.002512075227260188,0.002858278686596858,,,
1.0,a_fitted_sigma1,draws_mean(n=20),,,,,,,,,0.002138929304013984,-0.07215477941378787,0.887275,0.70892625,0.99999625,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.7149917783010766,0.19386984039850869,0.035684839557638244,0.02448896545034259,0.004530060493457286,0.01777505337302649,-0.0035687993033922992,0.0006889199099396618,0.0015968011183088394,-0.07475943292812248,-0.0694653882606329
1.0,a_fitted_matched,posterior_mean,-0.08607360702808961,28.02481880576901,9.401860841625,0.3230514512044318,-0.004240500035558847,0.4632596797734676,0.7853904690961843,0.007300000000000001,0.002138929304013984,-0.05708996340835865,0.887275,0.8161,0.997075,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.47801663143314765,0.24690571573036774,0.11153511243996116,0.07721915535827036,0.04063941742944406,0.02479116076114422,-0.005362498430918888,0.015530308214516486,,,
1.0,a_fitted_matched,draws_mean(n=20),,,,,,,,,0.002138929304013984,-0.05757102271777522,0.887275,0.81108875,0.9970149999999999,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.4790049935853487,0.2501803770191824,0.11373749852895723,0.0744998874824638,0.037109165417113565,0.02744318657098587,-0.004516696472360874,0.012404010314471388,0.0023407267522433475,-0.06087373929279585,-0.05308643503974971
1.0,b_leakonly_sigma1,posterior_mean,-0.08607360702808961,28.02481880576901,9.401860841625,,-0.004240500035558847,1.0,0.7853904690961843,0.007300000000000001,0.002138929304013984,0.06633513431640264,0.887275,0.769225,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.010351141977130017,0.0018525574876473133,0.0058890676387108425,0.01290855390856838,0.03980376341639908,0.09769346388643577,0.23447324694219615,0.5970282044134263,,,
1.0,b_leakonly_sigma1,draws_mean(n=20),,,,,,,,,0.002138929304013984,0.0661489963643807,0.887275,0.7670837499999998,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.009291256124334691,0.0029176332422556064,0.0065762557219442895,0.01400735374871015,0.04019041166097319,0.09919313219813972,0.2304369817128963,0.5971320082548957,0.00419984556957426,0.05769841134725051,0.06811835329969534
1.0,b_leakonly_matched,posterior_mean,-0.08607360702808961,28.02481880576901,9.401860841625,,-0.004240500035558847,0.4632596797734676,0.7853904690961843,0.007300000000000001,0.002138929304013984,0.06609008741191898,0.887275,0.821725,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.009723268329263146,-0.004981607484327603,0.006079506734658102,0.021042755552117327,0.03570061994712612,0.09694013222568325,0.23562116216908122,0.5899109473958443,,,
1.0,b_leakonly_matched,draws_mean(n=20),,,,,,,,,0.002138929304013984,0.06579155249018312,0.887275,0.8186512499999999,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.0108882786784414,-0.003378305642756514,0.007300022985375238,0.020396216219807133,0.03401257547961836,0.09693910211674542,0.23322777677148626,0.5910206215999053,0.004317979257846406,0.056873301410840835,0.06757057026748228
1.2,a_fitted_sigma1,posterior_mean,-0.07370786458491332,28.057525090602166,9.080624506036049,0.28674343696837745,-0.003295081239064647,1.0,0.7872247142097701,0.00655,-0.026052082773491355,-0.07540319209706392,0.86895,0.688075,1.0,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.810781311284057,0.13334192908088602,0.008416044213780451,0.017342409649736417,0.0012944299330084142,0.025129495174977257,-3.948798008768281e-05,-0.0036548921467098538,,,
1.2,a_fitted_sigma1,draws_mean(n=20),,,,,,,,,-0.026052082773491355,-0.07477320173765996,0.86895,0.686835,1.0,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.7978074990785713,0.13969689068723207,0.00816999920649748,0.01791576934787632,-0.004844568507958102,0.022012115489181576,-4.5446866973014374e-05,-0.0023358250906620774,0.0007583323163073999,-0.0762958005729221,-0.07377143447454022
1.2,a_fitted_matched,posterior_mean,-0.07370786458491332,28.057525090602166,9.080624506036049,0.28674343696837745,-0.003295081239064647,0.46127571558692515,0.7872247142097701,0.00655,-0.026052082773491355,-0.0645779255534809,0.86895,0.79075,0.999575,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.5802555679705156,0.22437112632666645,0.08183449518414693,0.046751626308277484,0.02208769256937292,0.024732143423445062,-0.015391798832580284,0.004575549159779218,,,
