param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.014,0.004,-0.021,-0.007,0.0,0.0,3109.0,2797.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
v_coherence_signed,6.565,0.044,6.482,6.646,0.001,0.001,2809.0,2546.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
a,1.305,0.003,1.3,1.31,0.0,0.0,2819.0,2678.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
z,0.491,0.002,0.487,0.495,0.0,0.0,2660.0,2676.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
g,0.994,0.005,0.985,1.0,0.0,0.0,1731.0,1470.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
v(0.15),0.971,0.007,0.957,0.985,0.0,0.0,2851.0,2514.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
v(0),-0.014,0.004,-0.021,-0.007,0.0,0.0,3109.0,2797.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
v(-0.15),-0.999,0.008,-1.013,-0.984,0.0,0.0,2925.0,2361.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
g_model,0.994,0.005,0.985,1.0,0.0,0.0,1731.0,1470.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
a_model,1.305,0.003,1.3,1.31,0.0,0.0,2819.0,2678.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
g_native,19.888,0.108,19.69,20.0,0.002,0.003,1731.0,1470.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
a_native,0.292,0.001,0.291,0.293,0.0,0.0,2819.0,2678.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
v_native(0.15),4.341,0.033,4.281,4.406,0.001,0.001,2851.0,2514.0,1.0,1.0,20.0,1.5,0,39881,0.4,g1.0_k20_b1.5_pooled
