tag,gain,k,engine,n_draws,n_sim_per_coh,omit_obs,omit_sim,med_abs_qerr_correct_ms,max_abs_qerr_correct_ms,med_abs_qerr_error_ms,max_abs_qerr_error_ms,max_abs_acc_err,minutes
g0.8_k10_b1.5_pooled,0.8,10.0,ssms,2,1000,0.034,0.017,7.826279449462902,46.0792327880859,18.49720764160156,113.0969696044922,0.0241193819166374,0.0405309001604715
g1.0_k10_b1.5_pooled,1.0,10.0,ssms,2,1000,0.0029749999999999,0.0018181818181818,2.922901153564453,28.21732482910141,3.8040924072265625,38.77802124023435,0.0212616851153046,0.0229252179463704
g1.2_k10_b1.5_pooled,1.2,10.0,ssms,2,1000,0.00029999999999996696,0.00027272727272727295,1.647586822509755,18.717715454101466,5.4306900024413665,27.58679809570299,0.03063878795922992,0.020294578870137532
