acoh,is_correct,quantile,rt,proportion,n,draw,gain,bound,k
0.0,False,0.25,72.0,0.5020746887966805,1815,-1,1.2,2.0,10.0
0.0,False,0.5,122.0,0.5020746887966805,1815,-1,1.2,2.0,10.0
0.0,False,0.75,210.0,0.5020746887966805,1815,-1,1.2,2.0,10.0
0.0,True,0.25,77.0,0.4979253112033195,1800,-1,1.2,2.0,10.0
0.0,True,0.5,130.0,0.4979253112033195,1800,-1,1.2,2.0,10.0
0.0,True,0.75,204.0,0.4979253112033195,1800,-1,1.2,2.0,10.0
0.03,False,0.25,74.0,0.3326856349757113,2397,-1,1.2,2.0,10.0
0.03,False,0.5,129.0,0.3326856349757113,2397,-1,1.2,2.0,10.0
0.03,False,0.75,219.0,0.3326856349757113,2397,-1,1.2,2.0,10.0
0.03,True,0.25,71.0,0.6673143650242886,4808,-1,1.2,2.0,10.0
0.03,True,0.5,123.0,0.6673143650242886,4808,-1,1.2,2.0,10.0
0.03,True,0.75,212.0,0.6673143650242886,4808,-1,1.2,2.0,10.0
0.06,False,0.25,67.0,0.21243378868134932,1524,-1,1.2,2.0,10.0
0.06,False,0.5,116.0,0.21243378868134932,1524,-1,1.2,2.0,10.0
0.06,False,0.75,193.0,0.21243378868134932,1524,-1,1.2,2.0,10.0
0.06,True,0.25,68.0,0.7875662113186507,5650,-1,1.2,2.0,10.0
0.06,True,0.5,115.0,0.7875662113186507,5650,-1,1.2,2.0,10.0
0.06,True,0.75,195.0,0.7875662113186507,5650,-1,1.2,2.0,10.0
0.09,False,0.25,66.5,0.12058465286236297,891,-1,1.2,2.0,10.0
0.09,False,0.5,109.0,0.12058465286236297,891,-1,1.2,2.0,10.0
0.09,False,0.75,171.0,0.12058465286236297,891,-1,1.2,2.0,10.0
0.09,True,0.25,62.0,0.879415347137637,6498,-1,1.2,2.0,10.0
0.09,True,0.5,104.5,0.879415347137637,6498,-1,1.2,2.0,10.0
0.09,True,0.75,168.0,0.879415347137637,6498,-1,1.2,2.0,10.0
0.12,False,0.25,55.0,0.06707232747891025,485,-1,1.2,2.0,10.0
0.12,False,0.5,95.0,0.06707232747891025,485,-1,1.2,2.0,10.0
0.12,False,0.75,153.0,0.06707232747891025,485,-1,1.2,2.0,10.0
0.12,True,0.25,57.0,0.9329276725210898,6746,-1,1.2,2.0,10.0
0.12,True,0.5,90.0,0.9329276725210898,6746,-1,1.2,2.0,10.0
0.12,True,0.75,145.0,0.9329276725210898,6746,-1,1.2,2.0,10.0
0.15,False,0.25,53.0,0.03493150684931507,255,-1,1.2,2.0,10.0
0.15,False,0.5,86.0,0.03493150684931507,255,-1,1.2,2.0,10.0
0.15,False,0.75,135.5,0.03493150684931507,255,-1,1.2,2.0,10.0
0.15,True,0.25,50.0,0.9650684931506849,7045,-1,1.2,2.0,10.0
0.15,True,0.5,77.0,0.9650684931506849,7045,-1,1.2,2.0,10.0
0.15,True,0.75,121.0,0.9650684931506849,7045,-1,1.2,2.0,10.0
0.0,False,0.25,74.39999999999999,0.5008347245409015,1800,1,1.2,2.0,10.0
0.0,False,0.5,132.3,0.5008347245409015,1800,1,1.2,2.0,10.0
0.0,False,0.75,223.90000000000003,0.5008347245409015,1800,1,1.2,2.0,10.0
0.0,True,0.25,71.35,0.4991652754590985,1794,1,1.2,2.0,10.0
0.0,True,0.5,128.45,0.4991652754590985,1794,1,1.2,2.0,10.0
0.0,True,0.75,226.275,0.4991652754590985,1794,1,1.2,2.0,10.0
0.03,False,0.25,68.39999999999999,0.34611630177102215,2482,1,1.2,2.0,10.0
0.03,False,0.5,122.64999999999998,0.34611630177102215,2482,1,1.2,2.0,10.0
