param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.036,0.005,-0.044,-0.026,0.0,0.0,2914.0,2634.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
v_coherence_signed,7.805,0.049,7.715,7.9,0.001,0.001,2827.0,2405.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
a,1.587,0.009,1.569,1.603,0.0,0.0,1864.0,2029.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
z,0.494,0.002,0.49,0.497,0.0,0.0,2706.0,2821.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
g,0.081,0.016,0.05,0.112,0.0,0.0,1986.0,2144.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
v(0.15),1.135,0.009,1.119,1.152,0.0,0.0,2915.0,2646.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
v(0),-0.036,0.005,-0.044,-0.026,0.0,0.0,2914.0,2634.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
v(-0.15),-1.206,0.009,-1.223,-1.19,0.0,0.0,2810.0,2435.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
g_model,0.081,0.016,0.05,0.112,0.0,0.0,1986.0,2144.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
a_model,1.587,0.009,1.569,1.603,0.0,0.0,1864.0,2029.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
g_native,0.808,0.164,0.501,1.123,0.004,0.003,1986.0,2144.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
a_native,0.502,0.003,0.496,0.507,0.0,0.0,1864.0,2029.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
v_native(0.15),3.589,0.028,3.537,3.643,0.001,0.0,2915.0,2646.0,1.0,1.2,10.0,2.94,0,34276,0.43,g1.2_k10_b2.94_pooled
