param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.036,0.004,-0.044,-0.028,0.0,0.0,2890.0,2774.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
v_coherence_signed,8.499,0.054,8.396,8.6,0.001,0.001,2262.0,2497.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
a,1.408,0.009,1.392,1.424,0.0,0.0,1630.0,1858.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
z,0.496,0.002,0.492,0.5,0.0,0.0,2426.0,2649.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
g,0.575,0.024,0.53,0.62,0.001,0.001,1525.0,1601.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
v(0.15),1.239,0.009,1.222,1.256,0.0,0.0,2442.0,2258.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
v(0),-0.036,0.004,-0.044,-0.028,0.0,0.0,2890.0,2774.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
v(-0.15),-1.311,0.009,-1.329,-1.293,0.0,0.0,2339.0,2377.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
g_model,0.575,0.024,0.53,0.62,0.001,0.001,1525.0,1601.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
a_model,1.408,0.009,1.392,1.424,0.0,0.0,1630.0,1858.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
g_native,5.75,0.245,5.301,6.202,0.006,0.005,1525.0,1601.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
a_native,0.445,0.003,0.44,0.45,0.0,0.0,1630.0,1858.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
v_native(0.15),3.917,0.029,3.863,3.972,0.001,0.0,2442.0,2258.0,1.0,1.0,10.0,2.5,0,35978,0.43,g1.0_k10_b2.5_pooled
