acoh,is_correct,quantile,rt,proportion,n,draw,gain,bound,k
0.0,False,0.25,214.5,0.48717948717948717,247,-1,0.8,2.94,10.0
0.0,False,0.5,361.0,0.48717948717948717,247,-1,0.8,2.94,10.0
0.0,False,0.75,560.5,0.48717948717948717,247,-1,0.8,2.94,10.0
0.0,True,0.25,237.0,0.5128205128205128,260,-1,0.8,2.94,10.0
0.0,True,0.5,385.5,0.5128205128205128,260,-1,0.8,2.94,10.0
0.0,True,0.75,565.5,0.5128205128205128,260,-1,0.8,2.94,10.0
0.03,False,0.25,261.0,0.16554621848739495,197,-1,0.8,2.94,10.0
0.03,False,0.5,387.0,0.16554621848739495,197,-1,0.8,2.94,10.0
0.03,False,0.75,542.0,0.16554621848739495,197,-1,0.8,2.94,10.0
0.03,True,0.25,242.0,0.8344537815126051,993,-1,0.8,2.94,10.0
0.03,True,0.5,375.0,0.8344537815126051,993,-1,0.8,2.94,10.0
0.03,True,0.75,532.0,0.8344537815126051,993,-1,0.8,2.94,10.0
0.06,False,0.25,191.75,0.04842342342342342,86,-1,0.8,2.94,10.0
0.06,False,0.5,326.5,0.04842342342342342,86,-1,0.8,2.94,10.0
0.06,False,0.75,529.0,0.04842342342342342,86,-1,0.8,2.94,10.0
0.06,True,0.25,241.25,0.9515765765765766,1690,-1,0.8,2.94,10.0
0.06,True,0.5,381.0,0.9515765765765766,1690,-1,0.8,2.94,10.0
0.06,True,0.75,551.0,0.9515765765765766,1690,-1,0.8,2.94,10.0
0.09,False,0.25,147.0,0.010223400227186671,27,-1,0.8,2.94,10.0
0.09,False,0.5,246.0,0.010223400227186671,27,-1,0.8,2.94,10.0
0.09,False,0.75,437.5,0.010223400227186671,27,-1,0.8,2.94,10.0
0.09,True,0.25,222.0,0.9897765997728133,2614,-1,0.8,2.94,10.0
0.09,True,0.5,344.0,0.9897765997728133,2614,-1,0.8,2.94,10.0
0.09,True,0.75,502.0,0.9897765997728133,2614,-1,0.8,2.94,10.0
0.12,False,0.25,146.5,0.0021868166198063107,7,-1,0.8,2.94,10.0
0.12,False,0.5,263.0,0.0021868166198063107,7,-1,0.8,2.94,10.0
0.12,False,0.75,444.5,0.0021868166198063107,7,-1,0.8,2.94,10.0
0.12,True,0.25,198.0,0.9978131833801936,3194,-1,0.8,2.94,10.0
0.12,True,0.5,309.5,0.9978131833801936,3194,-1,0.8,2.94,10.0
0.12,True,0.75,478.0,0.9978131833801936,3194,-1,0.8,2.94,10.0
0.15,False,0.25,177.5,0.0007643312101910828,3,-1,0.8,2.94,10.0
0.15,False,0.5,265.0,0.0007643312101910828,3,-1,0.8,2.94,10.0
0.15,False,0.75,372.5,0.0007643312101910828,3,-1,0.8,2.94,10.0
0.15,True,0.25,174.0,0.999235668789809,3922,-1,0.8,2.94,10.0
0.15,True,0.5,273.0,0.999235668789809,3922,-1,0.8,2.94,10.0
0.15,True,0.75,421.75,0.999235668789809,3922,-1,0.8,2.94,10.0
0.0,False,0.25,186.525,0.5251798561151079,146,1,0.8,2.94,10.0
0.0,False,0.5,340.55,0.5251798561151079,146,1,0.8,2.94,10.0
0.0,False,0.75,530.05,0.5251798561151079,146,1,0.8,2.94,10.0
0.0,True,0.25,163.75000000000003,0.4748201438848921,132,1,0.8,2.94,10.0
0.0,True,0.5,312.20000000000005,0.4748201438848921,132,1,0.8,2.94,10.0
0.0,True,0.75,494.80000000000007,0.4748201438848921,132,1,0.8,2.94,10.0
0.03,False,0.25,209.50000000000003,0.24859550561797752,177,1,0.8,2.94,10.0
0.03,False,0.5,322.8,0.24859550561797752,177,1,0.8,2.94,10.0
0.03,False,0.75,526.9000000000001,0.24859550561797752,177,1,0.8,2.94,10.0
0.03,True,0.25,199.00000000000003,0.7514044943820225,535,1,0.8,2.94,10.0
0.03,True,0.5,333.9,0.7514044943820225,535,1,0.8,2.94,10.0
0.03,True,0.75,505.15000000000003,0.7514044943820225,535,1,0.8,2.94,10.0
