gain,k,n_networks,frac_g_positive,n_g_positive,frac_hdi_excludes_0_positive,frac_hdi_excludes_0_negative,g_nat_median,g_nat_q25,g_nat_q75,g_nat_min,g_nat_max,a_nat_median,v_nat0p15_median,n_rhat_ok,n_ess_ok,n_div_lt1pct,max_edge_g,median_edge_g,median_minutes
0.8,10.0,20.0,1.0,20.0,1.0,0.0,9.809999999999999,9.7555,9.83925,9.58,9.907,0.3755,3.7805,20.0,20.0,20.0,0.88375,0.6461250000000001,2.2055866877237955
0.8,16.0,20.0,1.0,20.0,1.0,0.0,15.774999999999999,15.725249999999999,15.80075,15.544,15.89,0.35,4.0825,20.0,20.0,20.0,0.9465,0.753625,1.5201613227526347
1.0,10.0,20.0,1.0,20.0,1.0,0.0,9.657,9.561,9.757,4.156,9.804,0.324,4.0495,20.0,20.0,20.0,0.62725,0.420875,1.5098647952079771
1.0,16.0,20.0,1.0,20.0,1.0,0.0,15.472000000000001,15.248000000000001,15.63825,4.277,15.716,0.3035,4.1985,20.0,20.0,20.0,0.67075,0.44475,1.7040354013442993
1.2,10.0,20.0,1.0,20.0,0.95,0.0,9.440000000000001,9.30875,9.64975,2.452,9.73,0.2875,4.1695,20.0,20.0,20.0,0.51325,0.2575,1.532200692097346
1.2,16.0,20.0,1.0,20.0,0.95,0.0,14.977,14.50525,15.44625,1.679,15.582,0.2725,4.2565,20.0,20.0,20.0,0.52325,0.219875,1.645700643459956
