param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.074,0.024,0.027,0.119,0.0,0.0,2613.0,2405.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
v_coherence_signed,8.764,0.261,8.284,9.273,0.005,0.004,2884.0,2717.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
a,0.982,0.009,0.966,0.999,0.0,0.0,2616.0,2365.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
z,0.552,0.008,0.536,0.567,0.0,0.0,2692.0,2895.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
g,0.962,0.034,0.899,1.0,0.001,0.001,1937.0,1342.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
v(0.15),1.389,0.047,1.3,1.474,0.001,0.001,2651.0,2920.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
v(0),0.074,0.024,0.027,0.119,0.0,0.0,2613.0,2405.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
v(-0.15),-1.24,0.045,-1.317,-1.151,0.001,0.001,2992.0,2628.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
g_native,9.621,0.345,8.987,10.0,0.007,0.007,1937.0,1342.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
a_native,0.311,0.003,0.305,0.316,0.0,0.0,2616.0,2365.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
v_native(0.15),4.392,0.149,4.11,4.662,0.003,0.002,2651.0,2920.0,1.0,1.0,10.0,1.5,48,1995,0.38,g1.0_k10_b1.5_s48
