param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.132,0.03,-0.187,-0.074,0.001,0.0,1732.0,2535.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
v_coherence_signed,8.416,0.275,7.918,8.949,0.005,0.005,3085.0,2402.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
a,1.015,0.027,0.963,1.065,0.001,0.0,1355.0,1620.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
z,0.593,0.008,0.579,0.607,0.0,0.0,2166.0,2163.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
g,0.245,0.169,-0.047,0.576,0.005,0.003,1359.0,1493.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
v(0.15),1.131,0.053,1.036,1.232,0.001,0.001,2479.0,2789.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
v(0),-0.132,0.03,-0.187,-0.074,0.001,0.0,1732.0,2535.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
v(-0.15),-1.394,0.05,-1.486,-1.298,0.001,0.001,2668.0,2555.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
g_native,2.452,1.687,-0.472,5.764,0.046,0.027,1359.0,1493.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
a_native,0.321,0.009,0.305,0.337,0.0,0.0,1355.0,1620.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
v_native(0.15),3.575,0.167,3.277,3.896,0.003,0.002,2479.0,2789.0,1.0,1.2,10.0,1.5,59,2000,0.36,g1.2_k10_b1.5_s59
