param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.024,0.015,-0.053,0.003,0.0,0.0,3077.0,2923.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
v_coherence_signed,6.969,0.185,6.635,7.32,0.004,0.003,2471.0,2693.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
a,1.475,0.012,1.453,1.499,0.0,0.0,3134.0,2899.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
z,0.463,0.01,0.445,0.483,0.0,0.0,3126.0,2848.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
g,0.993,0.007,0.981,1.0,0.0,0.0,2494.0,1468.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
v(0.15),1.021,0.031,0.966,1.082,0.001,0.0,2633.0,2534.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
v(0),-0.024,0.015,-0.053,0.003,0.0,0.0,3077.0,2923.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
v(-0.15),-1.069,0.033,-1.128,-1.007,0.001,0.0,2511.0,2664.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
g_native,15.89,0.109,15.692,16.0,0.002,0.003,2494.0,1468.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
a_native,0.369,0.003,0.363,0.375,0.0,0.0,3134.0,2899.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
v_native(0.15),4.085,0.123,3.866,4.328,0.002,0.002,2633.0,2534.0,1.0,0.8,16.0,1.5,57,1869,0.524,g0.8_k16_b1.5_s57
