param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.02,0.005,-0.029,-0.009,0.0,0.0,2387.0,2491.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
v_coherence_signed,8.085,0.058,7.976,8.192,0.001,0.001,2811.0,2303.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
a,0.992,0.004,0.986,0.999,0.0,0.0,2338.0,2121.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
z,0.495,0.002,0.491,0.498,0.0,0.0,2931.0,2615.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
g,0.89,0.025,0.842,0.935,0.001,0.0,2251.0,1799.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
v(0.15),1.193,0.01,1.174,1.212,0.0,0.0,2693.0,2317.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
v(0),-0.02,0.005,-0.029,-0.009,0.0,0.0,2387.0,2491.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
v(-0.15),-1.232,0.01,-1.25,-1.212,0.0,0.0,2779.0,2412.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
g_native,10.679,0.302,10.101,11.222,0.006,0.006,2251.0,1799.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
a_native,0.286,0.001,0.285,0.288,0.0,0.0,2338.0,2121.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
v_native(0.15),4.133,0.036,4.067,4.199,0.001,0.001,2693.0,2317.0,1.0,1.2,12.0,1.5,0,39988,0.348,g1.2_k12_b1.5_pooled
