param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.018,0.02,-0.058,0.017,0.0,0.0,2895.0,2237.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
v_coherence_signed,6.928,0.224,6.51,7.344,0.004,0.004,2880.0,2009.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
a,1.115,0.01,1.096,1.135,0.0,0.0,2568.0,2379.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
z,0.469,0.009,0.453,0.485,0.0,0.0,3024.0,2892.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
g,0.96,0.035,0.894,1.0,0.001,0.001,2019.0,1807.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
v(0.15),1.021,0.038,0.949,1.092,0.001,0.001,2963.0,2281.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
v(0),-0.018,0.02,-0.058,0.017,0.0,0.0,2895.0,2237.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
v(-0.15),-1.058,0.04,-1.137,-0.987,0.001,0.001,2831.0,2289.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
g_native,15.353,0.568,14.308,16.0,0.011,0.011,2019.0,1807.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
a_native,0.279,0.003,0.274,0.284,0.0,0.0,2568.0,2379.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
v_native(0.15),4.084,0.153,3.795,4.367,0.003,0.003,2963.0,2281.0,1.0,1.2,16.0,1.5,44,1998,0.412,g1.2_k16_b1.5_s44
