param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.061,0.025,0.014,0.108,0.0,0.0,2851.0,2771.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
v_coherence_signed,9.905,0.279,9.378,10.421,0.005,0.005,3071.0,2297.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
a,0.986,0.009,0.969,1.004,0.0,0.0,2631.0,2518.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
z,0.454,0.008,0.439,0.47,0.0,0.0,2826.0,2827.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
g,0.956,0.038,0.884,1.0,0.001,0.001,1949.0,1186.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
v(0.15),1.547,0.049,1.457,1.641,0.001,0.001,2805.0,2874.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
v(0),0.061,0.025,0.014,0.108,0.0,0.0,2851.0,2771.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
v(-0.15),-1.424,0.049,-1.517,-1.337,0.001,0.001,3202.0,2494.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
g_native,9.561,0.384,8.842,10.0,0.007,0.007,1949.0,1186.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
a_native,0.312,0.003,0.307,0.318,0.0,0.0,2631.0,2518.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
v_native(0.15),4.892,0.155,4.608,5.189,0.003,0.003,2805.0,2874.0,1.0,1.0,10.0,1.5,56,1998,0.38,g1.0_k10_b1.5_s56
