draw,g_nat,omit,median_rt,acc,gain,bound,k,net_omit,net_median_rt,net_acc
0,0.6337416,0.01824999999999999,161.3,0.8742463153193389,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
10,0.90416074,0.01902499999999996,162.39999999999998,0.8735082865207792,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
20,0.7337141,0.01637500000000003,160.39999999999998,0.8719863987290616,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
30,0.8588171,0.018449999999999966,162.65,0.869559143990613,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
40,1.09749556,0.018650000000000055,162.1,0.8737465433926427,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
51,0.9466123599999999,0.018575000000000008,161.6,0.8714788732394366,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
61,1.0301161,0.020000000000000018,162.5,0.873119722641615,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
71,0.8107947999999999,0.01707499999999995,161.3,0.875118575972323,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
81,0.7296944,0.017525000000000013,160.8,0.8680067001675041,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
92,0.964216,0.017850000000000033,160.99999999999997,0.8722590016480908,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
102,0.55142045,0.01727500000000004,159.70000000000002,0.8749476972858378,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
112,0.8883595499999999,0.01905000000000001,162.6,0.8729879275653923,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
122,0.9881127000000001,0.01815,163.3,0.8762114906572075,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
133,0.6351924,0.017449999999999966,161.2,0.8739887295653629,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
143,0.59151173,0.017974999999999963,162.5,0.8728054260753063,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
153,0.85092425,0.017575000000000007,162.70000000000002,0.8716582017078752,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
163,1.0630798,0.01847500000000002,161.3,0.8747695401977764,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
173,1.0849106,0.018774999999999986,161.8,0.8700340839246801,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
184,0.8550596,0.018950000000000022,163.04999999999998,0.8766273677152595,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
194,0.79833865,0.01849999999999996,160.6,0.8738230281355648,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
204,0.7189929500000001,0.018525000000000014,161.1,0.8747451615605887,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
214,0.7545352,0.018900000000000028,160.2,0.8764107721533132,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
225,0.7187842999999999,0.017349999999999977,161.39999999999998,0.8712009154084452,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
235,1.1056948,0.01859999999999995,163.1,0.8728354373812982,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
245,0.8802736,0.01859999999999995,160.6,0.8737253806397541,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
255,0.7432914,0.018399999999999972,161.39999999999998,0.8700494013229507,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
266,0.72401404,0.018449999999999966,162.6,0.8767601698703621,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
276,0.6545222,0.016750000000000043,161.3,0.875324240649318,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
286,0.8537554999999999,0.01759999999999995,161.39999999999998,0.8716968496246895,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
296,0.8904111400000001,0.018774999999999986,161.89999999999998,0.8705586592178771,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
306,0.6143403000000001,0.018625000000000003,161.70000000000002,0.8729595259391771,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
317,0.55877566,0.017249999999999988,160.70000000000002,0.8726111095611416,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
327,0.788604,0.017325000000000035,162.3,0.8741492803748745,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
337,0.8788633,0.01905000000000001,162.2,0.8727267648126938,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
347,0.803082,0.01827500000000004,162.5,0.8736421769847253,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
358,0.7171261,0.018974999999999964,160.39999999999998,0.8699737151166043,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
368,0.6248116499999999,0.01737500000000003,161.8,0.8716187923959468,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
378,0.8918404600000001,0.018349999999999977,160.5,0.8706634290658405,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
388,0.9940481,0.017549999999999955,161.2,0.8734410312212271,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
399,0.95901966,0.020449999999999968,161.6,0.8738217112808033,1.2,2.94,10.0,0.1431,166.0,0.8854712878884767
