param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.013,0.028,-0.04,0.066,0.001,0.0,2099.0,2614.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
v_coherence_signed,8.8,0.29,8.248,9.321,0.005,0.005,3133.0,2344.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
a,0.863,0.01,0.846,0.881,0.0,0.0,2368.0,2194.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
z,0.513,0.008,0.498,0.53,0.0,0.0,2369.0,2557.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
g,0.898,0.074,0.77,1.0,0.002,0.001,1695.0,1619.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
v(0.15),1.333,0.053,1.24,1.437,0.001,0.001,2548.0,2436.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
v(0),0.013,0.028,-0.04,0.066,0.001,0.0,2099.0,2614.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
v(-0.15),-1.307,0.05,-1.401,-1.212,0.001,0.001,3169.0,2620.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
g_native,8.976,0.738,7.699,10.0,0.016,0.013,1695.0,1619.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
a_native,0.273,0.003,0.267,0.279,0.0,0.0,2368.0,2194.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
v_native(0.15),4.215,0.169,3.921,4.544,0.003,0.003,2548.0,2436.0,1.0,1.2,10.0,1.5,50,2000,0.35,g1.2_k10_b1.5_s50
