param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.018,0.004,-0.025,-0.01,0.0,0.0,2946.0,2451.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
v_coherence_signed,7.177,0.047,7.089,7.263,0.001,0.001,2952.0,2621.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
a,1.21,0.003,1.206,1.215,0.0,0.0,2336.0,2230.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
z,0.492,0.002,0.488,0.496,0.0,0.0,2959.0,2997.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
g,0.992,0.007,0.98,1.0,0.0,0.0,1705.0,1365.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
v(0.15),1.059,0.008,1.043,1.073,0.0,0.0,2890.0,2365.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
v(0),-0.018,0.004,-0.025,-0.01,0.0,0.0,2946.0,2451.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
v(-0.15),-1.094,0.008,-1.109,-1.079,0.0,0.0,3016.0,2668.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
g_native,15.88,0.113,15.673,16.0,0.002,0.003,1705.0,1365.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
a_native,0.303,0.001,0.301,0.304,0.0,0.0,2336.0,2230.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
v_native(0.15),4.236,0.032,4.173,4.294,0.001,0.001,2890.0,2365.0,1.0,1.0,16.0,1.5,0,39881,0.38,g1.0_k16_b1.5_pooled
