param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.023,0.005,-0.033,-0.012,0.0,0.0,2717.0,2717.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
v_coherence_signed,8.652,0.058,8.542,8.759,0.001,0.001,2508.0,2345.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
a,1.131,0.006,1.119,1.142,0.0,0.0,1678.0,1935.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
z,0.497,0.002,0.493,0.5,0.0,0.0,2429.0,2524.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
g,0.487,0.03,0.433,0.544,0.001,0.001,1659.0,2173.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
v(0.15),1.275,0.01,1.255,1.294,0.0,0.0,2464.0,2172.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
v(0),-0.023,0.005,-0.033,-0.012,0.0,0.0,2717.0,2717.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
v(-0.15),-1.32,0.01,-1.339,-1.301,0.0,0.0,2619.0,2432.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
g_model,0.487,0.03,0.433,0.544,0.001,0.001,1659.0,2173.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
a_model,1.131,0.006,1.119,1.142,0.0,0.0,1678.0,1935.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
g_native,4.873,0.296,4.329,5.435,0.007,0.005,1659.0,2173.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
a_native,0.358,0.002,0.354,0.361,0.0,0.0,1678.0,1935.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
v_native(0.15),4.033,0.032,3.969,4.091,0.001,0.001,2464.0,2172.0,1.0,1.2,10.0,2.0,0,39914,0.35,g1.2_k10_b2.0_pooled
