v_Intercept,v_coherence_signed,a,z,g,t,k,gain,seed_filter
-0.05371005705799562,7.4624853,1.097492,0.46424016,0.9724324,0.396,16.0,1.2,55
-0.08015580233959868,7.0490694,1.0927396,0.46364987,0.97248876,0.396,16.0,1.2,55
-0.03313374960643163,7.306862,1.1141804,0.45521262,0.8541868,0.396,16.0,1.2,55
-0.032088725217406064,7.176075,1.0867636,0.4420398,0.9811827,0.396,16.0,1.2,55
-0.07963990679498073,7.1505895,1.1156516,0.45543575,0.7991774,0.396,16.0,1.2,55
-0.07006049586511243,7.3770537,1.0904913,0.45755294,0.9969127,0.396,16.0,1.2,55
-0.07487342521033924,7.2965765,1.1064988,0.4685723,0.89005554,0.396,16.0,1.2,55
-0.05782827922616856,7.128442,1.1000645,0.4513271,0.8912412,0.396,16.0,1.2,55
-0.06790716224816395,7.1953707,1.0889292,0.47357488,0.96461284,0.396,16.0,1.2,55
-0.025717618550104515,7.0113754,1.0999203,0.44194177,0.96078,0.396,16.0,1.2,55
-0.0521305812102905,7.2592273,1.0874642,0.45332426,0.9683778,0.396,16.0,1.2,55
-0.023364649415314347,6.8946104,1.0805998,0.43493205,0.96845424,0.396,16.0,1.2,55
-0.09239491746090484,6.8177176,1.0766885,0.47065413,0.9800849,0.396,16.0,1.2,55
-0.04400669183416209,7.2245564,1.0827441,0.45461658,0.9940288,0.396,16.0,1.2,55
-0.05189621615612608,7.370265,1.1131424,0.4523155,0.9262153,0.396,16.0,1.2,55
-0.07470939487382852,7.268386,1.0979023,0.4486203,0.9631696,0.396,16.0,1.2,55
-0.0864000364361315,7.5122848,1.1005993,0.45837897,0.95371854,0.396,16.0,1.2,55
-0.06328387929297137,6.992494,1.0816308,0.4470742,0.9938314,0.396,16.0,1.2,55
-0.04647827725222016,6.7675476,1.0856413,0.45893648,0.9252384,0.396,16.0,1.2,55
-0.05237492936321829,6.91662,1.0833718,0.45432743,0.98559153,0.396,16.0,1.2,55
-0.03625758832666264,7.3003244,1.0875967,0.45317212,0.9823766,0.396,16.0,1.2,55
-0.06343254136108886,6.9534283,1.0907077,0.4575466,0.99290776,0.396,16.0,1.2,55
-0.07555803627059005,7.1125937,1.1161642,0.46121708,0.85336006,0.396,16.0,1.2,55
-0.06673468656096236,7.1074247,1.0971938,0.4562848,0.9167836,0.396,16.0,1.2,55
-0.10726028257754518,7.191669,1.0984313,0.46441543,0.92602277,0.396,16.0,1.2,55
-0.09216168602446784,7.1229124,1.0853802,0.4677393,0.94475627,0.396,16.0,1.2,55
-0.0825714887148622,7.291905,1.0929899,0.48092782,0.9795588,0.396,16.0,1.2,55
-0.05244804283569549,7.0791545,1.0851411,0.46062005,0.9831569,0.396,16.0,1.2,55
-0.04058251243880416,7.433546,1.1110619,0.4623342,0.9488721,0.396,16.0,1.2,55
-0.09463949618904874,7.1961513,1.0960382,0.46870214,0.93126106,0.396,16.0,1.2,55
-0.06180906393576885,7.299385,1.1038369,0.44838738,0.98025835,0.396,16.0,1.2,55
-0.03188861877575941,6.7100124,1.1111523,0.45265967,0.91522086,0.396,16.0,1.2,55
-0.06403285835193598,7.0718985,1.0846387,0.46396443,0.99277544,0.396,16.0,1.2,55
-0.051823713647060954,7.1671214,1.1264534,0.4617396,0.866861,0.396,16.0,1.2,55
-0.1015530733515943,7.3001876,1.0917623,0.45920777,0.98154116,0.396,16.0,1.2,55
-0.049937865694741596,6.9588914,1.0904818,0.45529395,0.87990713,0.396,16.0,1.2,55
-0.030612261764045474,7.222762,1.1198412,0.4382909,0.87342775,0.396,16.0,1.2,55
-0.06692775438999521,7.035651,1.1029422,0.44423118,0.9379631,0.396,16.0,1.2,55
-0.04393709047130491,7.241667,1.0945369,0.47164682,0.9970373,0.396,16.0,1.2,55
-0.07408316564178276,6.898303,1.1027855,0.45893788,0.88667965,0.396,16.0,1.2,55
-0.05275773786317711,7.091859,1.0794978,0.46643722,0.97136116,0.396,16.0,1.2,55
-0.04038996304435214,7.2156444,1.1004337,0.4594765,0.94610417,0.396,16.0,1.2,55
-0.07511057337860634,7.096977,1.0937467,0.45050198,0.9989594,0.396,16.0,1.2,55
-0.07021405557682062,6.9902625,1.0757622,0.46325892,0.9652991,0.396,16.0,1.2,55
-0.06185434707944067,6.8988543,1.1210976,0.45919916,0.8783114,0.396,16.0,1.2,55
-0.06102243924272126,6.9280434,1.0878904,0.4540022,0.9749398,0.396,16.0,1.2,55
-0.056651478839433445,7.2320237,1.0983552,0.450828,0.93122256,0.396,16.0,1.2,55
-0.03721992864317748,7.342097,1.0932302,0.45089364,0.94846153,0.396,16.0,1.2,55
-0.05610307240378803,6.9632006,1.0845729,0.4473217,0.985937,0.396,16.0,1.2,55
-0.05511626003502964,7.198723,1.109175,0.4430616,0.94537795,0.396,16.0,1.2,55
-0.04178607093864467,7.1425166,1.071298,0.45563936,0.99261427,0.396,16.0,1.2,55
-0.062022761807196014,7.560752,1.1046886,0.45598534,0.9280292,0.396,16.0,1.2,55
-0.06730494085462646,7.056835,1.0976113,0.45072168,0.9781605,0.396,16.0,1.2,55
-0.030538979454479434,7.126956,1.0836493,0.45663628,0.9687524,0.396,16.0,1.2,55
-0.051197467168728784,7.4426236,1.0978371,0.4495218,0.98141384,0.396,16.0,1.2,55
-0.07972182594578883,7.0271745,1.0766503,0.4676604,0.9723067,0.396,16.0,1.2,55
-0.07128724681311335,7.1779838,1.0816914,0.45820728,0.9398458,0.396,16.0,1.2,55
-0.05184052701113282,7.045299,1.1112332,0.44024453,0.85508883,0.396,16.0,1.2,55
-0.06801982333864076,7.901354,1.1071539,0.456581,0.94491637,0.396,16.0,1.2,55
-0.04693504531482508,6.7398148,1.0960376,0.44880885,0.9639156,0.396,16.0,1.2,55
-0.10573525488525704,6.9675856,1.0923127,0.47020987,0.9410968,0.396,16.0,1.2,55
-0.032776917018193845,7.0764713,1.0895143,0.44291398,0.9988636,0.396,16.0,1.2,55
-0.07867373568585898,6.885791,1.096331,0.46423972,0.8912574,0.396,16.0,1.2,55
-0.020798699802133426,6.731364,1.108133,0.4535336,0.862316,0.396,16.0,1.2,55
-0.07584694990699084,7.012396,1.106864,0.45318016,0.90084934,0.396,16.0,1.2,55
-0.08959766415609843,7.147571,1.091303,0.45722243,0.9248489,0.396,16.0,1.2,55
-0.011612001708175251,7.623413,1.0961366,0.4424945,0.9338381,0.396,16.0,1.2,55
-0.0267978057078924,6.847558,1.1015286,0.4434125,0.9048425,0.396,16.0,1.2,55
-0.05374464390097766,7.08988,1.0923395,0.45577738,0.94739485,0.396,16.0,1.2,55
-0.052020893012242886,6.9243717,1.0944843,0.45397717,0.9715961,0.396,16.0,1.2,55
-0.05628754692592878,7.280076,1.0985357,0.47205177,0.8956685,0.396,16.0,1.2,55
-0.06004306710201719,6.6909103,1.0907769,0.45983124,0.8916426,0.396,16.0,1.2,55
-0.02449555360775938,6.8728237,1.0783046,0.45682985,0.9954444,0.396,16.0,1.2,55
-0.07523797408767555,7.35919,1.1115935,0.45970038,0.8928703,0.396,16.0,1.2,55
-0.059510030622420274,7.4806356,1.1451182,0.45231274,0.7984096,0.396,16.0,1.2,55
-0.04532614156924348,6.858018,1.0950303,0.44974938,0.9920727,0.396,16.0,1.2,55
-0.03458763817180807,7.306657,1.127793,0.44666898,0.81517994,0.396,16.0,1.2,55
-0.03865886750252262,7.3437243,1.0916814,0.46664178,0.97736144,0.396,16.0,1.2,55
-0.038373969917955726,7.1111774,1.0963681,0.45418,0.89283025,0.396,16.0,1.2,55
-0.10422907296391115,7.27729,1.1101248,0.45611873,0.8818319,0.396,16.0,1.2,55
-0.07945660622970291,7.010825,1.0888768,0.4601537,0.96980095,0.396,16.0,1.2,55
-0.061101203921319486,6.7007303,1.1133313,0.4582547,0.8721243,0.396,16.0,1.2,55
-0.06879440371426061,7.0276194,1.0908741,0.4626489,0.9934912,0.396,16.0,1.2,55
-0.05125297661361961,7.0624127,1.0847427,0.45242,0.9629822,0.396,16.0,1.2,55
-0.08705741823047564,7.0732355,1.1028628,0.46675438,0.9704422,0.396,16.0,1.2,55
-0.04071878937019474,7.071935,1.090601,0.465456,0.96313787,0.396,16.0,1.2,55
-0.03383111301692144,6.8848386,1.0940529,0.45168275,0.94389415,0.396,16.0,1.2,55
-0.06034312971357467,7.101175,1.1053708,0.46199116,0.92697287,0.396,16.0,1.2,55
-0.06396533994569725,7.3028545,1.0783694,0.45810676,0.95931566,0.396,16.0,1.2,55
-0.06932363853626336,6.9086266,1.1337618,0.45721117,0.82330763,0.396,16.0,1.2,55
-0.056877514885448704,6.903496,1.0761564,0.44727302,0.98489475,0.396,16.0,1.2,55
-0.0951555106567108,6.5379763,1.0906992,0.47020316,0.9898355,0.396,16.0,1.2,55
-0.06152997405246355,7.585314,1.1191734,0.46063456,0.8587309,0.396,16.0,1.2,55
-0.06137952111016636,7.0952272,1.1186297,0.4605435,0.84315777,0.396,16.0,1.2,55
-0.03135475110029685,6.861327,1.0887073,0.45930585,0.9364903,0.396,16.0,1.2,55
-0.08414106609106899,7.4052157,1.1006025,0.4488334,0.9680375,0.396,16.0,1.2,55
-0.08678186818323713,6.970051,1.0799319,0.4708826,0.9947337,0.396,16.0,1.2,55
-0.0652518835540054,7.396534,1.1054162,0.44235635,0.93568444,0.396,16.0,1.2,55
-0.0396093681050635,7.1142735,1.0908693,0.4557301,0.9859396,0.396,16.0,1.2,55
-0.06762763720503326,7.346428,1.1290343,0.45833302,0.77921534,0.396,16.0,1.2,55
-0.07845727455741229,6.7318487,1.0848262,0.4660399,0.99831796,0.396,16.0,1.2,55
-0.07155785676060228,6.820523,1.110224,0.4515116,0.89105105,0.396,16.0,1.2,55
-0.08183738908748617,7.0015697,1.0907409,0.45475486,0.94315004,0.396,16.0,1.2,55
-0.09181511438626418,7.264159,1.0931603,0.46798927,0.97941864,0.396,16.0,1.2,55
-0.04327375040822413,6.63486,1.0815289,0.45237494,0.9402505,0.396,16.0,1.2,55
-0.09238029716729282,6.8841677,1.092319,0.46487147,0.95945835,0.396,16.0,1.2,55
-0.01757019344957665,7.1638155,1.1085237,0.4589246,0.908041,0.396,16.0,1.2,55
-0.08544602522079559,7.1814218,1.0896083,0.45758447,0.9775344,0.396,16.0,1.2,55
-0.06314998331995472,6.9626236,1.104849,0.45328233,0.9669013,0.396,16.0,1.2,55
-0.04993802630227467,6.985456,1.1019038,0.453043,0.8868507,0.396,16.0,1.2,55
-0.10281939114851615,6.9551115,1.102807,0.45739356,0.9525318,0.396,16.0,1.2,55
-0.07819877015643861,7.2004395,1.097323,0.4558775,0.966923,0.396,16.0,1.2,55
-0.04480713883538792,7.22016,1.0903536,0.45775312,0.9863287,0.396,16.0,1.2,55
-0.062171248278062065,6.883691,1.0872579,0.46528685,0.9926301,0.396,16.0,1.2,55
-0.10561007254120108,7.593651,1.1218877,0.45997047,0.90771925,0.396,16.0,1.2,55
-0.028695586349082744,6.821904,1.0873847,0.4432956,0.99487686,0.396,16.0,1.2,55
-0.05257863390737918,7.3735237,1.1034528,0.46040773,0.98458135,0.396,16.0,1.2,55
-0.07286227976220319,7.0941334,1.0871325,0.46450266,0.9959178,0.396,16.0,1.2,55
-0.07188887851723674,7.245628,1.0891727,0.4672376,0.98610675,0.396,16.0,1.2,55
-0.04702479971236381,6.717618,1.0944014,0.45897743,0.94780815,0.396,16.0,1.2,55
-0.042228613190796446,7.111063,1.1049653,0.44774666,0.9088547,0.396,16.0,1.2,55
-0.0716267501347777,7.1623816,1.1126311,0.45940283,0.8614242,0.396,16.0,1.2,55
-0.03964133732076762,6.889127,1.0865595,0.44993204,0.9728234,0.396,16.0,1.2,55
-0.0939140975326225,7.4664164,1.0948294,0.46056655,0.9987055,0.396,16.0,1.2,55
-0.038371437725393455,7.3688745,1.1134033,0.45244935,0.9538543,0.396,16.0,1.2,55
-0.06747234734730341,7.395563,1.0950446,0.46468022,0.9681647,0.396,16.0,1.2,55
-0.051938008919783146,7.763578,1.0954648,0.4682129,0.9107659,0.396,16.0,1.2,55
-0.05351544326397703,7.017646,1.0982821,0.46668583,0.9113852,0.396,16.0,1.2,55
-0.03698241820151714,7.1370664,1.0978005,0.46569964,0.95154667,0.396,16.0,1.2,55
-0.04519272868307666,6.947662,1.0852746,0.4503433,0.98638475,0.396,16.0,1.2,55
-0.04915664557518513,7.084301,1.1046476,0.43826342,0.9769001,0.396,16.0,1.2,55
-0.06731725234637086,7.0247316,1.0915194,0.46980456,0.9536196,0.396,16.0,1.2,55
-0.03754991063360812,7.125449,1.1141057,0.44176796,0.8151057,0.396,16.0,1.2,55
-0.026617536449384666,6.976774,1.0955356,0.44312775,0.9618716,0.396,16.0,1.2,55
-0.0573696651394335,7.1371474,1.0855353,0.46591935,0.95807123,0.396,16.0,1.2,55
-0.05259325679628297,7.178216,1.0852042,0.44463274,0.9823214,0.396,16.0,1.2,55
-0.0439456216164265,6.998904,1.0796099,0.45243514,0.96256745,0.396,16.0,1.2,55
-0.06495044359986694,7.450978,1.0933659,0.4629113,0.91819084,0.396,16.0,1.2,55
-0.06872085400973038,7.109688,1.092209,0.4683765,0.9998658,0.396,16.0,1.2,55
-0.06617809719893859,6.839,1.095369,0.4560018,0.94478667,0.396,16.0,1.2,55
-0.09058816326922807,6.895135,1.0872107,0.46965373,0.9594934,0.396,16.0,1.2,55
-0.07040382722427155,6.8794694,1.1073201,0.4612874,0.8615023,0.396,16.0,1.2,55
-0.10567809056257713,6.8737187,1.0944114,0.46664616,0.9472835,0.396,16.0,1.2,55
-0.06323662204465727,6.9903545,1.121299,0.46603218,0.80613065,0.396,16.0,1.2,55
-0.03829843324085901,6.744561,1.1006765,0.46345428,0.95058095,0.396,16.0,1.2,55
-0.02278638465694334,7.209258,1.082793,0.45229316,0.9942168,0.396,16.0,1.2,55
-0.0155556433984433,7.3032837,1.1097046,0.4436934,0.8747767,0.396,16.0,1.2,55
-0.054389522942738154,7.277538,1.0993059,0.4630777,0.9577203,0.396,16.0,1.2,55
-0.05515027673081078,7.1340303,1.0776068,0.45677498,0.9700502,0.396,16.0,1.2,55
-0.03941487686940585,7.1866846,1.0989581,0.4540861,0.9630028,0.396,16.0,1.2,55
-0.08270714377211952,6.9402695,1.077614,0.4604069,0.9902431,0.396,16.0,1.2,55
-0.07751177081350924,6.9862823,1.0869154,0.46098754,0.977592,0.396,16.0,1.2,55
-0.04483686120823778,6.9836473,1.109788,0.44912016,0.94475853,0.396,16.0,1.2,55
-0.05935335312085249,7.4017267,1.0992715,0.46261418,0.95111287,0.396,16.0,1.2,55
-0.03291900932937934,6.7988696,1.0898228,0.454601,0.9924611,0.396,16.0,1.2,55
-0.062386619159732835,7.035319,1.076254,0.46144068,0.9550668,0.396,16.0,1.2,55
-0.04959676227908304,7.2805467,1.1087519,0.45758492,0.95489895,0.396,16.0,1.2,55
-0.03293353355068036,7.118519,1.0980844,0.45548332,0.96267927,0.396,16.0,1.2,55
-0.06549814655042517,7.347727,1.088158,0.46780646,0.9488368,0.396,16.0,1.2,55
-0.045705918392698545,7.266548,1.0998075,0.44479233,0.9328556,0.396,16.0,1.2,55
-0.09838663243364845,7.1437087,1.0888895,0.4598512,0.9819218,0.396,16.0,1.2,55
-0.030408742975270284,7.0033803,1.0950345,0.45051455,0.9708612,0.396,16.0,1.2,55
-0.06409374897810385,7.212718,1.1159097,0.45537546,0.86188614,0.396,16.0,1.2,55
-0.05261079592129896,7.0967355,1.1026884,0.45992675,0.81777143,0.396,16.0,1.2,55
-0.06368588948381013,6.9633117,1.1113914,0.4691491,0.8893604,0.396,16.0,1.2,55
-0.07874706831856212,7.3442616,1.1018068,0.45389867,0.98175776,0.396,16.0,1.2,55
-0.04389721958562098,6.9207554,1.0910366,0.45158398,0.9015341,0.396,16.0,1.2,55
-0.07090311896389517,7.582566,1.1008233,0.44178718,0.94008696,0.396,16.0,1.2,55
