param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.027,0.007,-0.04,-0.015,0.0,0.0,2706.0,2701.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
v_coherence_signed,9.774,0.069,9.646,9.902,0.001,0.001,3112.0,2808.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
a,0.838,0.002,0.833,0.842,0.0,0.0,2121.0,2568.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
z,0.497,0.002,0.493,0.5,0.0,0.0,2680.0,2380.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
g,0.948,0.025,0.905,0.996,0.001,0.0,1898.0,1212.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
v(0.15),1.439,0.013,1.417,1.463,0.0,0.0,2982.0,2634.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
v(0),-0.027,0.007,-0.04,-0.015,0.0,0.0,2706.0,2701.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
v(-0.15),-1.493,0.012,-1.516,-1.471,0.0,0.0,3023.0,2752.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
g_native,7.588,0.199,7.241,7.965,0.004,0.003,1898.0,1212.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
a_native,0.296,0.001,0.295,0.298,0.0,0.0,2121.0,2568.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
v_native(0.15),4.071,0.036,4.007,4.138,0.001,0.001,2982.0,2634.0,1.0,1.2,8.0,1.5,0,39988,0.332,g1.2_k8_b1.5_pooled
