v_Intercept,v_coherence_signed,a,z,g,t,k,gain,seed_filter
-0.13837199370785536,7.7063065,1.2397197,0.46231574,0.9574311,0.46,16.0,1.0,49
-0.10989009878754076,7.4511843,1.221422,0.45048982,0.99029124,0.46,16.0,1.0,49
-0.14976020574569704,7.695554,1.2305574,0.45870838,0.98378134,0.46,16.0,1.0,49
-0.15456147814228524,7.591777,1.2146087,0.46481478,0.9779242,0.46,16.0,1.0,49
-0.13038410674392908,7.4110823,1.2253671,0.4598805,0.9910244,0.46,16.0,1.0,49
-0.16782328445986924,7.6135635,1.2223248,0.4693651,0.9821867,0.46,16.0,1.0,49
-0.12539355981403885,7.2608995,1.2084551,0.44404525,0.97528946,0.46,16.0,1.0,49
-0.14301087693391343,6.9790473,1.2133802,0.44615236,0.9793855,0.46,16.0,1.0,49
-0.14112178254451146,7.770629,1.2431209,0.45384815,0.97300184,0.46,16.0,1.0,49
-0.12812504022908966,7.156159,1.2060277,0.44495198,0.9992876,0.46,16.0,1.0,49
-0.12218384311209976,7.6947403,1.2309579,0.4579796,0.92527544,0.46,16.0,1.0,49
-0.15954603733520162,7.6821804,1.2400924,0.458545,0.9938544,0.46,16.0,1.0,49
-0.11271323994813462,7.5322976,1.212152,0.44772828,0.9903858,0.46,16.0,1.0,49
-0.1074641090065106,7.559582,1.2357107,0.45983672,0.9731935,0.46,16.0,1.0,49
-0.115266633573161,7.615118,1.2244532,0.45736715,0.9829178,0.46,16.0,1.0,49
-0.16960719807655023,7.4903965,1.2102507,0.46272528,0.9935862,0.46,16.0,1.0,49
-0.12967033826387847,7.404297,1.2331337,0.44647312,0.96012235,0.46,16.0,1.0,49
-0.15175522014566137,7.2868075,1.2128276,0.46943164,0.9838722,0.46,16.0,1.0,49
-0.15604354703048776,7.0924773,1.2159765,0.46487677,0.9857043,0.46,16.0,1.0,49
-0.12202792874288775,7.279253,1.2342341,0.4522505,0.9882765,0.46,16.0,1.0,49
-0.10666919476306277,7.719299,1.229124,0.453397,0.95490646,0.46,16.0,1.0,49
-0.12913964931781474,7.5560536,1.2233146,0.43495286,0.997694,0.46,16.0,1.0,49
-0.12207923820115862,7.347641,1.2230968,0.45754772,0.9487636,0.46,16.0,1.0,49
-0.19218303481917576,7.677113,1.2204329,0.44562715,0.98918104,0.46,16.0,1.0,49
-0.15131684752071606,7.6170015,1.2521938,0.47501224,0.89510345,0.46,16.0,1.0,49
-0.15636783664582543,7.5986304,1.2354449,0.44790554,0.93308747,0.46,16.0,1.0,49
-0.16013981874172503,6.9249835,1.21634,0.4679021,0.97870314,0.46,16.0,1.0,49
-0.14476579886216384,7.4423313,1.2316511,0.45433927,0.94345975,0.46,16.0,1.0,49
-0.15640102484646964,7.232609,1.2169287,0.45558685,0.99137187,0.46,16.0,1.0,49
-0.17218460071140826,7.5001144,1.2315462,0.44584438,0.9858047,0.46,16.0,1.0,49
-0.1428795294524318,7.5155926,1.2215695,0.45092726,0.9702548,0.46,16.0,1.0,49
-0.11662339511500225,7.599778,1.2009113,0.45627058,0.9874116,0.46,16.0,1.0,49
-0.14699364661091593,7.3427324,1.2254995,0.4510859,0.9865105,0.46,16.0,1.0,49
-0.13045435167545646,7.139654,1.2280165,0.44958234,0.9983237,0.46,16.0,1.0,49
-0.13358219724974482,7.7342396,1.2291902,0.43700778,0.98844945,0.46,16.0,1.0,49
-0.11264754062324628,7.4679594,1.2261494,0.4542806,0.99239886,0.46,16.0,1.0,49
-0.1726219281351944,7.657237,1.2311646,0.46932042,0.97944415,0.46,16.0,1.0,49
-0.14153968510045187,7.384664,1.2049646,0.44998822,0.99654436,0.46,16.0,1.0,49
-0.1252396488621224,7.5444603,1.2324971,0.464383,0.999243,0.46,16.0,1.0,49
-0.14826939699336955,7.446208,1.2188703,0.44198844,0.9906757,0.46,16.0,1.0,49
-0.12282785463117367,7.51729,1.2197931,0.4591544,0.99710524,0.46,16.0,1.0,49
-0.12920778977924882,7.546798,1.2181479,0.43728027,0.99439526,0.46,16.0,1.0,49
-0.17544367134301372,7.358333,1.2139632,0.4697339,0.98571074,0.46,16.0,1.0,49
-0.14105289352425623,7.370203,1.2190711,0.44591105,0.99928,0.46,16.0,1.0,49
-0.15073217671381403,7.670269,1.2397101,0.43891558,0.992291,0.46,16.0,1.0,49
