param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.084,0.028,-0.135,-0.03,0.0,0.0,3130.0,3136.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
v_coherence_signed,9.213,0.303,8.679,9.815,0.006,0.005,2726.0,2059.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
a,0.875,0.008,0.86,0.891,0.0,0.0,2603.0,2360.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
z,0.467,0.008,0.45,0.482,0.0,0.0,2864.0,2826.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
g,0.952,0.042,0.873,1.0,0.001,0.001,2036.0,1441.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
v(0.15),1.298,0.052,1.201,1.396,0.001,0.001,2810.0,2440.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
v(0),-0.084,0.028,-0.135,-0.03,0.0,0.0,3130.0,3136.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
v(-0.15),-1.466,0.054,-1.57,-1.368,0.001,0.001,2771.0,2502.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
g_native,9.52,0.422,8.726,10.0,0.008,0.009,2036.0,1441.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
a_native,0.277,0.003,0.272,0.282,0.0,0.0,2603.0,2360.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
v_native(0.15),4.105,0.165,3.797,4.414,0.003,0.002,2810.0,2440.0,1.0,1.2,10.0,1.5,54,2000,0.36,g1.2_k10_b1.5_s54
