tag,gain,k,abs_coherence,n_obs,n_sim,acc_obs,acc_sim,omit_sim,qc10_obs,qc10_sim,qc10_err,qc30_obs,qc30_sim,qc30_err,qc50_obs,qc50_sim,qc50_err,qc70_obs,qc70_sim,qc70_err,qc90_obs,qc90_sim,qc90_err,qe10_obs,qe10_sim,qe10_err,qe30_obs,qe30_sim,qe30_err,qe50_obs,qe50_sim,qe50_err,qe70_obs,qe70_sim,qe70_err,qe90_obs,qe90_sim,qe90_err
g1.2_k10_b2.5_pooled,1.2,10.0,0.0,3386,19618,0.47755463673951565,0.4659496380874707,0.019100000000000016,63.0,57.800000000000004,-5.199999999999996,107.0,103.4,-3.5999999999999943,159.0,162.04999999999998,3.049999999999983,230.0,250.98999999999995,20.989999999999952,410.0,424.7000000000001,14.700000000000102,,,,,,,,,,,,,,,
g1.2_k10_b2.5_pooled,1.2,10.0,0.03,6711,39428,0.683206675607212,0.6749264482093943,0.014300000000000012,61.0,57.20000000000001,-3.79999999999999,103.0,100.2,-2.799999999999997,156.0,154.70000000000002,-1.299999999999983,231.0,239.10000000000002,8.100000000000023,391.60000000000036,404.40000000000003,12.79999999999967,62.0,56.06000000000002,-5.9399999999999835,112.0,99.97999999999998,-12.020000000000024,162.0,154.70000000000002,-7.299999999999983,239.0,235.7199999999999,-3.2800000000000864,386.0,403.7,17.69999999999999
g1.2_k10_b2.5_pooled,1.2,10.0,0.06,6767,39720,0.8142456036648441,0.8090634441087613,0.007000000000000006,59.0,55.2,-3.799999999999997,98.0,94.6,-3.4000000000000057,146.0,142.29999999999998,-3.700000000000017,218.0,215.20000000000005,-2.7999999999999545,372.0,366.40000000000003,-5.599999999999966,58.60000000000001,54.099999999999994,-4.500000000000014,101.0,90.59999999999998,-10.40000000000002,147.0,138.2,-8.800000000000011,217.0,209.40000000000003,-7.599999999999966,362.0,359.30000000000007,-2.699999999999932
g1.2_k10_b2.5_pooled,1.2,10.0,0.09,7038,39899,0.9040920716112532,0.8952354695606406,0.002525000000000002,54.0,51.49999999999999,-2.500000000000007,89.0,84.9,-4.099999999999994,129.0,125.5,-3.5,185.0,188.5,3.5,316.0,317.3,1.3000000000000114,53.0,48.699999999999996,-4.300000000000004,93.0,80.0,-13.0,131.0,120.04999999999998,-10.950000000000017,186.0,181.42999999999998,-4.570000000000022,327.0,305.8,-21.19999999999999
g1.2_k10_b2.5_pooled,1.2,10.0,0.12,6910,39972,0.9536903039073806,0.9451616131291904,0.0007000000000000006,50.0,48.20000000000001,-1.79999999999999,79.0,75.69999999999999,-3.3000000000000114,113.0,109.3,-3.700000000000003,160.0,156.6,-3.4000000000000057,268.0,257.6099999999999,-10.3900000000001,49.0,45.5,-3.5,74.7,70.72999999999999,-3.970000000000013,114.5,101.69999999999999,-12.800000000000011,163.0,150.67,-12.330000000000013,263.4000000000001,254.89000000000001,-8.510000000000076
g1.2_k10_b2.5_pooled,1.2,10.0,0.15,6960,39996,0.9780172413793103,0.9718721872187218,0.00010000000000000009,45.0,45.1,0.10000000000000142,69.0,68.3,-0.7000000000000028,95.0,95.69999999999997,0.6999999999999744,132.0,134.9,2.9000000000000057,219.0,219.00000000000003,2.842170943040401e-14,49.0,42.14,-6.859999999999999,79.0,65.12,-13.879999999999995,105.0,89.19999999999999,-15.800000000000011,146.79999999999998,127.19999999999997,-19.60000000000001,235.8,204.76000000000002,-31.039999999999992
