param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.11,0.021,0.071,0.148,0.0,0.0,2795.0,2246.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
v_coherence_signed,6.956,0.225,6.526,7.372,0.004,0.004,2815.0,2596.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
a,1.124,0.016,1.097,1.155,0.0,0.0,2164.0,2038.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
z,0.507,0.009,0.489,0.523,0.0,0.0,2772.0,2591.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
g,0.9,0.073,0.769,1.0,0.002,0.001,1758.0,1701.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
v(0.15),1.153,0.042,1.072,1.23,0.001,0.001,2604.0,2332.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
v(0),0.11,0.021,0.071,0.148,0.0,0.0,2795.0,2246.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
v(-0.15),-0.933,0.036,-1.001,-0.867,0.001,0.001,3052.0,2775.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
g_native,14.393,1.16,12.304,15.996,0.026,0.02,1758.0,1701.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
a_native,0.281,0.004,0.274,0.289,0.0,0.0,2164.0,2038.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
v_native(0.15),4.613,0.17,4.29,4.919,0.003,0.003,2604.0,2332.0,1.0,1.2,16.0,1.5,52,1998,0.38,g1.2_k16_b1.5_s52
