gain,variant,which,v0_nat,v1_nat,g_nat,a_nat,x0_nat,sigma,evidence_var_frac,t_nat,slope_net,slope_sim,acc_net,acc_sim,frac_bounded,n_trials,wnet0,wnet1,wnet2,wnet3,wnet4,wnet5,wnet6,wnet7,wsim0,wsim1,wsim2,wsim3,wsim4,wsim5,wsim6,wsim7,slope_sim_sd,slope_sim_lo,slope_sim_hi
0.8,a_fitted_sigma1,posterior_mean,-0.04376211986850621,25.723695129500005,9.971459703,0.4307444488215723,-0.009537659305303437,1.0,0.6617084911154623,0.01100000000000001,0.0391732580670018,-0.05224264803121362,0.865875,0.77215,0.99275,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.40412036287283953,0.2656574970075519,0.13587663484881526,0.0910389973740394,0.0523966873157888,0.029875717368852903,0.010923033516833424,0.010111069348522897,,,
0.8,a_fitted_sigma1,draws_mean(n=5),,,,,,,,,0.0391732580670018,-0.05218705973181009,0.865875,0.7723099999999999,0.992745,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.4037968866922685,0.26559153750339937,0.13560331592382732,0.09096587859400135,0.0524415004491974,0.030732693635652085,0.011059093043879342,0.00980909381153701,0.0002905538470650918,-0.0524839944641608,-0.05173206032898155
0.8,a_fitted_matched,posterior_mean,-0.04376211986850621,25.723695129500005,9.971459703,0.4307444488215723,-0.009537659305303437,0.5816283253801673,0.6617084911154623,0.01100000000000001,0.0391732580670018,-0.023543495737343087,0.865875,0.851875,0.927925,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.20767085694982437,0.21107501054019848,0.15320857293660942,0.1338225907373975,0.09067587192517004,0.07072163440905192,0.05387664619649124,0.07894881611791227,,,
0.8,a_fitted_matched,draws_mean(n=5),,,,,,,,,0.0391732580670018,-0.023515304150605452,0.865875,0.8516199999999999,0.92749,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.20744508535178294,0.21115415989212782,0.15269593357310138,0.13366474760850508,0.09169872297998156,0.0707439378468315,0.0538795139206669,0.07871789863946561,0.00020519214896623928,-0.023847749954027265,-0.023330062213162812
0.8,b_leakonly_sigma1,posterior_mean,-0.04376211986850621,25.723695129500005,9.971459703,,-0.009537659305303437,1.0,0.6617084911154623,0.01100000000000001,0.0391732580670018,0.06831224842406991,0.865875,0.754375,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.006352091059288902,0.0013219017529209538,0.004784412847022704,0.008969514956016852,0.034579803994950656,0.09228688493301611,0.23037621104948147,0.6213291790367399,,,
0.8,b_leakonly_sigma1,draws_mean(n=5),,,,,,,,,0.0391732580670018,0.06832613765677471,0.865875,0.754305,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.006248870364518368,0.0009905790324300488,0.0051705270256427105,0.009062028014902846,0.03427409776869016,0.09262247394826058,0.23044866198271388,0.6211827614925209,8.367204149180409e-05,0.06819537469629718,0.06842493159909202
0.8,b_leakonly_matched,posterior_mean,-0.04376211986850621,25.723695129500005,9.971459703,,-0.009537659305303437,0.5816283253801673,0.6617084911154623,0.01100000000000001,0.0391732580670018,0.06772367047693797,0.865875,0.800875,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.009396943820490609,-0.002688219187373821,0.0045153541891631175,0.014550897151390827,0.0309942581047274,0.09064120403835699,0.2320934713236271,0.6151196519643289,,,
0.8,b_leakonly_matched,draws_mean(n=5),,,,,,,,,0.0391732580670018,0.06769037239912272,0.865875,0.80122,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.009631086179223824,-0.002698855444144609,0.004190556004612288,0.01480040974990359,0.03136310543004285,0.09056806073923405,0.2315080429770568,0.6152398832558378,7.07249294241207e-05,0.06761894846850283,0.0677982369587496
1.0,a_fitted_sigma1,posterior_mean,-0.07202118095931681,27.904666373540845,9.9476833755,0.3681909894933148,-0.0036458167949768865,1.0,0.7786704054186212,0.010000000000000004,0.002138929304013984,-0.06608343115570488,0.887275,0.73735,0.999675,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.5916201849424289,0.24616536860911828,0.07730066594215053,0.04626920545668938,0.012768292684192103,0.014104379767697368,-0.0031794686243913415,0.008592433568742069,,,
1.0,a_fitted_sigma1,draws_mean(n=5),,,,,,,,,0.002138929304013984,-0.06600920963917196,0.887275,0.73743,0.999665,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.5915838715417097,0.2456063268489262,0.07797466393511591,0.04700501753713377,0.012962721695410021,0.013217567936958214,-0.002407508459617096,0.009242321640061743,0.00010353405569380994,-0.06617784585415276,-0.06591056975199483
