acoh,is_correct,quantile,rt,proportion,n,draw,gain,bound,k
0.0,False,0.25,51.5,0.4995871180842279,1815,-1,1.2,1.5,10.0
0.0,False,0.5,90.0,0.4995871180842279,1815,-1,1.2,1.5,10.0
0.0,False,0.75,155.0,0.4995871180842279,1815,-1,1.2,1.5,10.0
0.0,True,0.25,50.0,0.500412881915772,1818,-1,1.2,1.5,10.0
0.0,True,0.5,92.0,0.500412881915772,1818,-1,1.2,1.5,10.0
0.0,True,0.75,156.0,0.500412881915772,1818,-1,1.2,1.5,10.0
0.03,False,0.25,50.0,0.35124309392265196,2543,-1,1.2,1.5,10.0
0.03,False,0.5,89.0,0.35124309392265196,2543,-1,1.2,1.5,10.0
0.03,False,0.75,158.5,0.35124309392265196,2543,-1,1.2,1.5,10.0
0.03,True,0.25,50.0,0.648756906077348,4697,-1,1.2,1.5,10.0
0.03,True,0.5,89.0,0.648756906077348,4697,-1,1.2,1.5,10.0
0.03,True,0.75,158.0,0.648756906077348,4697,-1,1.2,1.5,10.0
0.06,False,0.25,46.0,0.24579218250104326,1767,-1,1.2,1.5,10.0
0.06,False,0.5,82.0,0.24579218250104326,1767,-1,1.2,1.5,10.0
0.06,False,0.75,139.0,0.24579218250104326,1767,-1,1.2,1.5,10.0
0.06,True,0.25,49.0,0.7542078174989567,5422,-1,1.2,1.5,10.0
0.06,True,0.5,86.0,0.7542078174989567,5422,-1,1.2,1.5,10.0
0.06,True,0.75,146.0,0.7542078174989567,5422,-1,1.2,1.5,10.0
0.09,False,0.25,44.0,0.15253549695740365,1128,-1,1.2,1.5,10.0
0.09,False,0.5,80.5,0.15253549695740365,1128,-1,1.2,1.5,10.0
0.09,False,0.75,131.0,0.15253549695740365,1128,-1,1.2,1.5,10.0
0.09,True,0.25,45.0,0.8474645030425964,6267,-1,1.2,1.5,10.0
0.09,True,0.5,78.0,0.8474645030425964,6267,-1,1.2,1.5,10.0
0.09,True,0.75,130.0,0.8474645030425964,6267,-1,1.2,1.5,10.0
0.12,False,0.25,39.0,0.09556077997510717,691,-1,1.2,1.5,10.0
0.12,False,0.5,67.0,0.09556077997510717,691,-1,1.2,1.5,10.0
0.12,False,0.75,116.0,0.09556077997510717,691,-1,1.2,1.5,10.0
0.12,True,0.25,42.0,0.9044392200248929,6540,-1,1.2,1.5,10.0
0.12,True,0.5,68.0,0.9044392200248929,6540,-1,1.2,1.5,10.0
0.12,True,0.75,114.0,0.9044392200248929,6540,-1,1.2,1.5,10.0
0.15,False,0.25,36.0,0.05684931506849315,415,-1,1.2,1.5,10.0
0.15,False,0.5,63.0,0.05684931506849315,415,-1,1.2,1.5,10.0
0.15,False,0.75,102.0,0.05684931506849315,415,-1,1.2,1.5,10.0
0.15,True,0.25,37.0,0.9431506849315069,6885,-1,1.2,1.5,10.0
0.15,True,0.5,60.0,0.9431506849315069,6885,-1,1.2,1.5,10.0
0.15,True,0.75,98.0,0.9431506849315069,6885,-1,1.2,1.5,10.0
0.0,False,0.25,48.75000000000001,0.5077177508269018,1842,1,1.2,1.5,10.0
0.0,False,0.5,90.8,0.5077177508269018,1842,1,1.2,1.5,10.0
0.0,False,0.75,158.79999999999998,0.5077177508269018,1842,1,1.2,1.5,10.0
0.0,True,0.25,50.15000000000001,0.49228224917309815,1786,1,1.2,1.5,10.0
0.0,True,0.5,93.95,0.49228224917309815,1786,1,1.2,1.5,10.0
0.0,True,0.75,172.22500000000002,0.49228224917309815,1786,1,1.2,1.5,10.0
0.03,False,0.25,48.5,0.35590877677954386,2575,1,1.2,1.5,10.0
0.03,False,0.5,88.19999999999999,0.35590877677954386,2575,1,1.2,1.5,10.0
0.03,False,0.75,158.95,0.35590877677954386,2575,1,1.2,1.5,10.0
