param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.04,0.023,-0.083,0.003,0.0,0.0,2560.0,2433.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
v_coherence_signed,7.352,0.242,6.907,7.812,0.005,0.004,2874.0,2567.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
a,1.037,0.012,1.015,1.059,0.0,0.0,2513.0,2141.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
z,0.469,0.009,0.452,0.485,0.0,0.0,2656.0,2329.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
g,0.923,0.059,0.815,1.0,0.001,0.001,1741.0,1566.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
v(0.15),1.063,0.041,0.985,1.136,0.001,0.001,2749.0,2732.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
v(0),-0.04,0.023,-0.083,0.003,0.0,0.0,2560.0,2433.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
v(-0.15),-1.143,0.045,-1.227,-1.062,0.001,0.001,2808.0,2648.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
g_native,14.768,0.95,13.043,16.0,0.021,0.018,1741.0,1566.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
a_native,0.259,0.003,0.254,0.265,0.0,0.0,2513.0,2141.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
v_native(0.15),4.251,0.165,3.939,4.545,0.003,0.002,2749.0,2732.0,1.0,1.2,16.0,1.5,47,2000,0.412,g1.2_k16_b1.5_s47
