seed,gain,v,g,B,loss,slope_net,slope_sim,acc_net,acc_sim
42,0.8,128.36811029391987,4.797368475035526,28.434126995033417,0.2159481298293247,0.0442374650869408,0.04338228176404776,0.859,0.8715
42,1.0,47.46157776251443,-0.11056548612759842,4.611052629791767,1.310784109688979,0.007771059743242274,-0.0019365588172608492,0.888,0.886
42,1.2,46.34412890007848,-1.966642552909684,5.8220386153476875,1.2763795861823266,-0.02151859515137629,-0.021944778899896277,0.8815,0.8815
43,0.8,29.45005166373238,3.8106824137521267,1.24947035580765,0.9965939984934978,0.027984826914530067,0.025276941727286305,0.8805,0.852
43,1.0,53.56427441982621,5.157512143530737,1.0951081423697708,0.6357017878210657,-0.009891962669604093,-0.009994255047490956,0.8855,0.8695
43,1.2,154.04563395407322,-5.026116290968692,7.243490472168251,1.175331610205614,-0.03839006961717072,-0.04592615579922371,0.8505,0.8625
44,0.8,99.35189407891886,3.282027390182556,23.521841842092087,0.7785975780326412,0.029737221928812427,0.033589959530104824,0.8705,0.887
44,1.0,62.306501510545786,3.7093396168051047,1.5287192239402665,0.5465237405254386,0.0025946170875529384,0.0006708912433966897,0.897,0.8895
44,1.2,53.85054216788181,-2.378320863334781,4.6870399947845,0.8376594011764718,-0.0203586008367107,-0.02444127364283239,0.884,0.8785
45,0.8,61.04171598754894,3.2110123132522794,2.6678617947102046,0.18145817540533937,0.032916193091738474,0.03260449943211709,0.873,0.875
45,1.0,328.29209327984495,-0.5754200948064803,26.419268605704886,0.6081888962851201,-0.007589016729392944,-0.007372396638287281,0.892,0.908
45,1.2,131.90785871422983,-0.32407197667865695,2.4637181168521267,0.9192481847854334,-0.033627891876647185,-0.03691484589205821,0.856,0.878
46,0.8,186.63096639482413,4.886891234573749,10.737430937578385,1.5055019554278806,0.04089848948748474,0.043627696838856644,0.861,0.8755
46,1.0,55.41488108668932,-0.20147091570802822,3.4475853942811074,0.7070315280722226,-0.004161029228997998,-0.005355194822203987,0.89,0.8955
46,1.2,101.15116678570924,4.61318546849993,1.5855136538675199,1.0231429514430717,-0.03746265829407482,-0.034967837544158324,0.865,0.8715
47,0.8,69.21748008678078,3.0509554163848787,5.545290057988959,0.30701666621276646,0.030167879765426675,0.031033087801586107,0.8815,0.8775
47,1.0,133.3546757057319,-0.5475245612397486,7.785148346239013,0.5327482117748499,-0.005219375348654753,-0.006417585396974982,0.89,0.909
47,1.2,228.27742554438322,-3.5537973203187834,7.996498868382703,0.45100773968840724,-0.031216684872771294,-0.036758197208494006,0.8695,0.878
48,0.8,63.842238676961244,5.659825322976411,9.559316144766317,0.2515524331640599,0.043202365258196936,0.04561472704856261,0.861,0.861
48,1.0,24.099787909291447,-0.25829890982709885,2.78575343041691,1.426413717226426,0.006751230685906008,-0.0007029874489451941,0.8825,0.8495
48,1.2,222.62233597143864,-2.671824781992918,15.007888510841521,0.7653727590920851,-0.02236952913676013,-0.029405621394418113,0.8685,0.8895
49,0.8,31.75907621238629,2.7370157144172937,1.4720349785845643,0.48775357258008656,0.030059328997432473,0.030334695882995158,0.876,0.861
49,1.0,47.07124498332877,-0.9725189237337288,3.0128318328198844,0.5011728526159978,-0.009932205084176022,-0.014066513715119026,0.887,0.8955
49,1.2,124.55877687131064,-5.588746852032193,6.846339272853425,1.0107801466423534,-0.03550302191526896,-0.04886744599942451,0.851,0.8585
50,0.8,43.241012844159116,4.68283139534803,8.401307133052516,0.7208351630328813,0.0454005104476537,0.04440907566691089,0.861,0.8555
50,1.0,32.63468186652243,1.6204618507210193,1.445635853624252,0.9582732554795499,0.006849436883067153,0.009805230752205265,0.892,0.8765
50,1.2,82.04040896071871,-0.33060475330833194,2.1227803472201194,1.0558940190665251,-0.022066456657766163,-0.02331254324369994,0.88,0.8945
51,0.8,104.91825738799689,3.3158349440000787,12.87973587017645,2.5055310547633964,0.030048562548587808,0.03401345572809251,0.8735,0.8795
51,1.0,161.71566021560466,-1.4382852329289157,18.99200949398179,2.060125910609809,-0.00980678721189566,-0.016618232186338722,0.8835,0.9045
51,1.2,176.6004335585882,2.7978884386714444,2.55231091763308,2.759619912543007,-0.03383495323956071,-0.043171238269812284,0.8635,0.863
52,0.8,38.44142571591624,5.746437629793196,1.3330850230989892,1.0228957469278028,0.03517876503186766,0.03400418409617667,0.8435,0.8515
52,1.0,91.57472834551938,2.3631637434856856,2.8016807015333067,0.4504527567590272,0.007971409756540303,0.010321082611727699,0.888,0.89
52,1.2,59.29702074965934,-2.1705565329273546,27.321735825133096,0.4088031528370127,-0.02152735176447405,-0.024725004163606876,0.878,0.8875
53,0.8,35.886390472591046,5.316574756491115,2.678732568244337,0.768347047837938,0.04919538075639779,0.04771630593329725,0.858,0.8385
53,1.0,50.97871933595364,1.3549201629305627,4.117051399948028,0.5178862741342032,0.01642209963040887,0.01403632746588025,0.8905,0.8905
53,1.2,50.44428229603527,-1.6099340631181822,21.917959153589795,0.9111319827843891,-0.01676113000285927,-0.018376384264021377,0.8845,0.8835
54,0.8,59.11161071172086,6.65789153132623,8.281876340158151,0.9221801648026384,0.054277077858641026,0.05245496447424906,0.846,0.8545
54,1.0,60.559457503815594,1.385812473963199,13.944527050559223,0.24370596233670294,0.012940684803345549,0.015102956120863171,0.891,0.892
54,1.2,29.825601839855896,-1.0986154600107747,2.2027482685407445,0.4623126732977997,-0.016266710373273936,-0.01334538059207014,0.8795,0.877
55,0.8,39.20151297609158,4.666020110216138,15.003122622418374,0.428689477847532,0.04333981064174317,0.043059159585014474,0.8675,0.8445
55,1.0,41.55393355805708,0.0019517235323892532,2.070183151945924,0.13541443731059577,-0.0014716042507557632,-0.00039348353204925077,0.8905,0.8925
55,1.2,69.09160756491035,-3.438708768546445,5.8271175293608,0.4193866730335346,-0.030150337392477286,-0.033757560385812985,0.8705,0.8825
56,0.8,46.9886094417342,4.932322916399038,3.3726243849022857,0.5514370976957347,0.04507720848644313,0.04408021887347797,0.8605,0.8565
56,1.0,56.232486760515116,0.8370687580382508,3.9409429480153846,1.2374052630362384,0.009810520088881695,0.008415038445651274,0.8775,0.8935
56,1.2,67.41672689155425,-3.4926409581580296,7.7249720054387705,1.9612809908722306,-0.023021566015062105,-0.033990424869044925,0.851,0.88
57,0.8,141.8053530029042,3.788049127593868,10.473965226024127,0.45127709788404424,0.0403541951808006,0.03672835224537103,0.8715,0.8805
57,1.0,188.7133217585488,0.5747723515511758,13.079906043237841,0.5435650359136028,0.001826154075466066,0.0060612668870132355,0.8825,0.906
57,1.2,35.15523229496565,-2.7718577559554443,4.820618083265398,0.4744017501451072,-0.03131090739818102,-0.0320884130025553,0.8585,0.8545
58,0.8,31.148572310861184,3.2401065003667915,1.3424828493921726,1.1116276011191681,0.026269095623447605,0.020358901476712047,0.874,0.853
58,1.0,82.6914446044343,12.350672227599322,1.254299903099481,0.5509579900303251,-0.00587495044512864,-0.012096544802436328,0.8775,0.8795
58,1.2,207.45339302552816,13.007577056431474,2.5616307649321124,0.7991016100222699,-0.02465945519323324,-0.02855928446253502,0.866,0.872
59,0.8,45.435808257517444,4.322975637729063,2.1229636858524366,0.3976717575146551,0.04432795918794291,0.04199700805855318,0.8645,0.855
59,1.0,259.59217901553086,4.402068063794886,5.438450877463872,0.9497399784355938,0.0029641342573542323,0.0014008305281925481,0.8875,0.897
59,1.2,63.00219044983548,2.687644322765842,1.1636783347789148,1.9992955219302937,-0.026022020854387835,-0.03318611253003183,0.8725,0.8675
60,0.8,54.990140334153466,4.4238626240400425,14.215212018669435,0.8053704575207994,0.042855099277720035,0.03977181490727558,0.8705,0.873
60,1.0,119.11512265480138,1.0872697257610795,30.79890417514609,0.945293367462889,0.010191404054571486,0.012156248227967925,0.8955,0.904
60,1.2,24.175706377313727,-0.8269208340485881,8.54811812664086,1.16226426097005,-0.018137955954441086,-0.012872926713806847,0.8815,0.856
61,0.8,144.64212774892673,3.888707723206984,5.68183568260409,0.7409080906853589,0.035849051685413545,0.03769079619615328,0.8645,0.885
61,1.0,52.0791530959072,1.030630368675114,4.253168670093077,0.5085898250568045,0.009107444989117605,0.009294802893010568,0.8775,0.883
61,1.2,290.8999928591153,0.3642732493249346,7.799375419576046,1.4270131282561118,-0.009558233268307612,-0.012327215780874076,0.8675,0.903
